subject_id,original_outer_fold,evaluation_fold,representation_cache_fold,strict_match,checkpoint,checkpoint_sha256,feature_cache_sha256,logit_cache_sha256,metadata_cache_sha256,internal_holdout_used,outer_test_used,wbcic_used
14,0,0,0,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_0.pt,d4c42ed6798943de831755e1e7abd2e23147119e46a8f11a0927b36ec9ce9b14,3c01b70fca326bd1df2099c3cd61f26aab9516f838873bd2d91ed640c14019cb,a93b0c695acba2591811982d3d087b8439494447c888f7e80ac37fd42cacd01b,04df38ef221423d150f4ce27004538e0dcd80ac1fd72650ac7a8a38c7bb92f2f,False,False,False
15,3,3,3,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_3.pt,f8a6d23d37d98e5e6f17cfa981a2b1ed4dd948862903068f51a64e8297533f41,f51e86bc252beddde4fec9be2857437534e3b9b995232dabc7c511782566870e,fd90fe9de1c1003118ed7dbbd52ffb9bdbf0455081b194847d22b5709a36af99,601e4fab36ed35f694df80129d91e7084cd2c35bb99b82f12051a04f739247d5,False,False,False
16,1,1,1,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_1.pt,7d3e03afab05ec6722ebb582a6939432729b54c50f57c9e0de0f9c627ac84008,dbaa2ae1cefa72ac9086be9771cda2ee092b8fb57b26a80e0ae930fcd82a2b61,965b20e3882c3a0422bae797dce9c1fe279ff42ea6f37cc1b77b396274fe4896,139f4a66a9cda296ff08f79ca86631c1f0785d2ab97612274446eecac1dc1425,False,False,False
19,0,0,0,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_0.pt,d4c42ed6798943de831755e1e7abd2e23147119e46a8f11a0927b36ec9ce9b14,3c01b70fca326bd1df2099c3cd61f26aab9516f838873bd2d91ed640c14019cb,a93b0c695acba2591811982d3d087b8439494447c888f7e80ac37fd42cacd01b,04df38ef221423d150f4ce27004538e0dcd80ac1fd72650ac7a8a38c7bb92f2f,False,False,False
20,3,3,3,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_3.pt,f8a6d23d37d98e5e6f17cfa981a2b1ed4dd948862903068f51a64e8297533f41,f51e86bc252beddde4fec9be2857437534e3b9b995232dabc7c511782566870e,fd90fe9de1c1003118ed7dbbd52ffb9bdbf0455081b194847d22b5709a36af99,601e4fab36ed35f694df80129d91e7084cd2c35bb99b82f12051a04f739247d5,False,False,False
21,3,3,3,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_3.pt,f8a6d23d37d98e5e6f17cfa981a2b1ed4dd948862903068f51a64e8297533f41,f51e86bc252beddde4fec9be2857437534e3b9b995232dabc7c511782566870e,fd90fe9de1c1003118ed7dbbd52ffb9bdbf0455081b194847d22b5709a36af99,601e4fab36ed35f694df80129d91e7084cd2c35bb99b82f12051a04f739247d5,False,False,False
22,2,2,2,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_2.pt,c66a8a7ff60ef02a930696115846de9717a56f81fcf30e46e0a552d204522677,cd1a2614ffb60174a4cedacb6538fed441c16ae5a7884a3685a0b5adb2c430b5,0c0dc71995b3f8aee0727198473185691e0887684865aaccd6ef15855f19cd67,1fbc090994ab348b8b62e88018b803f2cadc25eb7f89eb9de5fdf270762f04c9,False,False,False
23,4,4,4,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_4.pt,afdb904dcf5ed7ac4122d7d45819b44f0c098ed1a6efcb607bb2e02ae7f3b14c,6825a661e11be36bb58bed0128ddfb1a193ce0af7d76d6c0a1f959e7479667c5,b785cd6c0c641da90256ef1fb7d41351d5f60fbf636cb60473897c504c538191,06fbcdf064527a3f1af7912480d0341d6eed9a8c7c407a096023edb554faaa57,False,False,False
26,2,2,2,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_2.pt,c66a8a7ff60ef02a930696115846de9717a56f81fcf30e46e0a552d204522677,cd1a2614ffb60174a4cedacb6538fed441c16ae5a7884a3685a0b5adb2c430b5,0c0dc71995b3f8aee0727198473185691e0887684865aaccd6ef15855f19cd67,1fbc090994ab348b8b62e88018b803f2cadc25eb7f89eb9de5fdf270762f04c9,False,False,False
27,3,3,3,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_3.pt,f8a6d23d37d98e5e6f17cfa981a2b1ed4dd948862903068f51a64e8297533f41,f51e86bc252beddde4fec9be2857437534e3b9b995232dabc7c511782566870e,fd90fe9de1c1003118ed7dbbd52ffb9bdbf0455081b194847d22b5709a36af99,601e4fab36ed35f694df80129d91e7084cd2c35bb99b82f12051a04f739247d5,False,False,False
28,3,3,3,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_3.pt,f8a6d23d37d98e5e6f17cfa981a2b1ed4dd948862903068f51a64e8297533f41,f51e86bc252beddde4fec9be2857437534e3b9b995232dabc7c511782566870e,fd90fe9de1c1003118ed7dbbd52ffb9bdbf0455081b194847d22b5709a36af99,601e4fab36ed35f694df80129d91e7084cd2c35bb99b82f12051a04f739247d5,False,False,False
30,4,4,4,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_4.pt,afdb904dcf5ed7ac4122d7d45819b44f0c098ed1a6efcb607bb2e02ae7f3b14c,6825a661e11be36bb58bed0128ddfb1a193ce0af7d76d6c0a1f959e7479667c5,b785cd6c0c641da90256ef1fb7d41351d5f60fbf636cb60473897c504c538191,06fbcdf064527a3f1af7912480d0341d6eed9a8c7c407a096023edb554faaa57,False,False,False
31,4,4,4,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_4.pt,afdb904dcf5ed7ac4122d7d45819b44f0c098ed1a6efcb607bb2e02ae7f3b14c,6825a661e11be36bb58bed0128ddfb1a193ce0af7d76d6c0a1f959e7479667c5,b785cd6c0c641da90256ef1fb7d41351d5f60fbf636cb60473897c504c538191,06fbcdf064527a3f1af7912480d0341d6eed9a8c7c407a096023edb554faaa57,False,False,False
32,0,0,0,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_0.pt,d4c42ed6798943de831755e1e7abd2e23147119e46a8f11a0927b36ec9ce9b14,3c01b70fca326bd1df2099c3cd61f26aab9516f838873bd2d91ed640c14019cb,a93b0c695acba2591811982d3d087b8439494447c888f7e80ac37fd42cacd01b,04df38ef221423d150f4ce27004538e0dcd80ac1fd72650ac7a8a38c7bb92f2f,False,False,False
33,0,0,0,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_0.pt,d4c42ed6798943de831755e1e7abd2e23147119e46a8f11a0927b36ec9ce9b14,3c01b70fca326bd1df2099c3cd61f26aab9516f838873bd2d91ed640c14019cb,a93b0c695acba2591811982d3d087b8439494447c888f7e80ac37fd42cacd01b,04df38ef221423d150f4ce27004538e0dcd80ac1fd72650ac7a8a38c7bb92f2f,False,False,False
34,2,2,2,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_2.pt,c66a8a7ff60ef02a930696115846de9717a56f81fcf30e46e0a552d204522677,cd1a2614ffb60174a4cedacb6538fed441c16ae5a7884a3685a0b5adb2c430b5,0c0dc71995b3f8aee0727198473185691e0887684865aaccd6ef15855f19cd67,1fbc090994ab348b8b62e88018b803f2cadc25eb7f89eb9de5fdf270762f04c9,False,False,False
35,1,1,1,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_1.pt,7d3e03afab05ec6722ebb582a6939432729b54c50f57c9e0de0f9c627ac84008,dbaa2ae1cefa72ac9086be9771cda2ee092b8fb57b26a80e0ae930fcd82a2b61,965b20e3882c3a0422bae797dce9c1fe279ff42ea6f37cc1b77b396274fe4896,139f4a66a9cda296ff08f79ca86631c1f0785d2ab97612274446eecac1dc1425,False,False,False
38,3,3,3,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_3.pt,f8a6d23d37d98e5e6f17cfa981a2b1ed4dd948862903068f51a64e8297533f41,f51e86bc252beddde4fec9be2857437534e3b9b995232dabc7c511782566870e,fd90fe9de1c1003118ed7dbbd52ffb9bdbf0455081b194847d22b5709a36af99,601e4fab36ed35f694df80129d91e7084cd2c35bb99b82f12051a04f739247d5,False,False,False
40,0,0,0,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_0.pt,d4c42ed6798943de831755e1e7abd2e23147119e46a8f11a0927b36ec9ce9b14,3c01b70fca326bd1df2099c3cd61f26aab9516f838873bd2d91ed640c14019cb,a93b0c695acba2591811982d3d087b8439494447c888f7e80ac37fd42cacd01b,04df38ef221423d150f4ce27004538e0dcd80ac1fd72650ac7a8a38c7bb92f2f,False,False,False
41,3,3,3,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_3.pt,f8a6d23d37d98e5e6f17cfa981a2b1ed4dd948862903068f51a64e8297533f41,f51e86bc252beddde4fec9be2857437534e3b9b995232dabc7c511782566870e,fd90fe9de1c1003118ed7dbbd52ffb9bdbf0455081b194847d22b5709a36af99,601e4fab36ed35f694df80129d91e7084cd2c35bb99b82f12051a04f739247d5,False,False,False
43,1,1,1,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_1.pt,7d3e03afab05ec6722ebb582a6939432729b54c50f57c9e0de0f9c627ac84008,dbaa2ae1cefa72ac9086be9771cda2ee092b8fb57b26a80e0ae930fcd82a2b61,965b20e3882c3a0422bae797dce9c1fe279ff42ea6f37cc1b77b396274fe4896,139f4a66a9cda296ff08f79ca86631c1f0785d2ab97612274446eecac1dc1425,False,False,False
44,2,2,2,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_2.pt,c66a8a7ff60ef02a930696115846de9717a56f81fcf30e46e0a552d204522677,cd1a2614ffb60174a4cedacb6538fed441c16ae5a7884a3685a0b5adb2c430b5,0c0dc71995b3f8aee0727198473185691e0887684865aaccd6ef15855f19cd67,1fbc090994ab348b8b62e88018b803f2cadc25eb7f89eb9de5fdf270762f04c9,False,False,False
45,1,1,1,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_1.pt,7d3e03afab05ec6722ebb582a6939432729b54c50f57c9e0de0f9c627ac84008,dbaa2ae1cefa72ac9086be9771cda2ee092b8fb57b26a80e0ae930fcd82a2b61,965b20e3882c3a0422bae797dce9c1fe279ff42ea6f37cc1b77b396274fe4896,139f4a66a9cda296ff08f79ca86631c1f0785d2ab97612274446eecac1dc1425,False,False,False
46,3,3,3,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_3.pt,f8a6d23d37d98e5e6f17cfa981a2b1ed4dd948862903068f51a64e8297533f41,f51e86bc252beddde4fec9be2857437534e3b9b995232dabc7c511782566870e,fd90fe9de1c1003118ed7dbbd52ffb9bdbf0455081b194847d22b5709a36af99,601e4fab36ed35f694df80129d91e7084cd2c35bb99b82f12051a04f739247d5,False,False,False
47,0,0,0,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_0.pt,d4c42ed6798943de831755e1e7abd2e23147119e46a8f11a0927b36ec9ce9b14,3c01b70fca326bd1df2099c3cd61f26aab9516f838873bd2d91ed640c14019cb,a93b0c695acba2591811982d3d087b8439494447c888f7e80ac37fd42cacd01b,04df38ef221423d150f4ce27004538e0dcd80ac1fd72650ac7a8a38c7bb92f2f,False,False,False
48,1,1,1,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_1.pt,7d3e03afab05ec6722ebb582a6939432729b54c50f57c9e0de0f9c627ac84008,dbaa2ae1cefa72ac9086be9771cda2ee092b8fb57b26a80e0ae930fcd82a2b61,965b20e3882c3a0422bae797dce9c1fe279ff42ea6f37cc1b77b396274fe4896,139f4a66a9cda296ff08f79ca86631c1f0785d2ab97612274446eecac1dc1425,False,False,False
49,4,4,4,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_4.pt,afdb904dcf5ed7ac4122d7d45819b44f0c098ed1a6efcb607bb2e02ae7f3b14c,6825a661e11be36bb58bed0128ddfb1a193ce0af7d76d6c0a1f959e7479667c5,b785cd6c0c641da90256ef1fb7d41351d5f60fbf636cb60473897c504c538191,06fbcdf064527a3f1af7912480d0341d6eed9a8c7c407a096023edb554faaa57,False,False,False
50,0,0,0,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_0.pt,d4c42ed6798943de831755e1e7abd2e23147119e46a8f11a0927b36ec9ce9b14,3c01b70fca326bd1df2099c3cd61f26aab9516f838873bd2d91ed640c14019cb,a93b0c695acba2591811982d3d087b8439494447c888f7e80ac37fd42cacd01b,04df38ef221423d150f4ce27004538e0dcd80ac1fd72650ac7a8a38c7bb92f2f,False,False,False
52,2,2,2,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_2.pt,c66a8a7ff60ef02a930696115846de9717a56f81fcf30e46e0a552d204522677,cd1a2614ffb60174a4cedacb6538fed441c16ae5a7884a3685a0b5adb2c430b5,0c0dc71995b3f8aee0727198473185691e0887684865aaccd6ef15855f19cd67,1fbc090994ab348b8b62e88018b803f2cadc25eb7f89eb9de5fdf270762f04c9,False,False,False
53,0,0,0,True,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\cache\OPENBMI_MI_SPECIFIC_BACKBONE_FOLD_0.pt,d4c42ed6798943de831755e1e7abd2e23147119e46a8f11a0927b36ec9ce9b14,3c01b70fca326bd1df2099c3cd61f26aab9516f838873bd2d91ed640c14019cb,a93b0c695acba2591811982d3d087b8439494447c888f7e80ac37fd42cacd01b,04df38ef221423d150f4ce27004538e0dcd80ac1fd72650ac7a8a38c7bb92f2f,False,False,False
