subject_id,source_fold,step,checkpoint,eta,task_grad_norm,utility_grad_norm,grad_dot_task_G,cos_task_G,predicted_utility_damage,utility_delta_actual_small_step,predicted_utility_delta,finite_decision_change,predicted_decision_damage_finite,protected_contribution_delta,w_norm_before
1,0,0,t0,0.05,0.24190105390201275,0.14279465879080921,-0.020390314579183645,-0.5903017582943108,0.0,0.0009973945995392364,0.0010195157289591822,0.01,0.0,0.026382833523355426,0.0
1,0,1,t1,0.05,0.2360372678195615,0.13764524278571363,-0.018805385951149653,-0.5788157396176626,0.0,0.0009204324610440628,0.0009402692975574826,-0.01,0.01,0.025369020834383183,0.012093443331075019
1,0,2,t2,0.05,0.23050628805490356,0.13284277065393693,-0.017383407022180563,-0.5676936744610793,0.0,0.0008513346938507638,0.0008691703511090282,0.0,0.0,0.0244228237926302,0.023893318464036913
1,0,3,t3,0.05,0.2252781287508606,0.12835551300876039,-0.01610409657277178,-0.5569326245690188,0.0,0.0007891286642625617,0.0008052048286385891,0.0,0.0,0.023538007073788114,0.03541593796713504
1,0,4,t4,0.05,0.22032637453129772,0.12415545388660104,-0.01495015149431157,-0.5465289158284595,0.0,0.0007329836463482176,0.0007475075747155785,0.0,0.0,0.02270906916565095,0.046676173688669075
10,0,0,t0,0.05,0.5722700114330883,0.5390659797503731,-0.29059213052422983,-0.9419783520128323,0.0,0.013533839430839245,0.014529606526211492,0.01,0.0,0.10881440573746189,0.0
10,0,1,t1,0.05,0.5027792660490885,0.47131804611803485,-0.21934429771850847,-0.925624629355438,0.0,0.010234132243676364,0.010967214885925424,0.0,0.0,0.09408636580781417,0.028185375151099364
10,0,2,t2,0.05,0.44472575899094574,0.4151533621636036,-0.16722781120854488,-0.9057485292580209,0.0,0.007821908466179806,0.008361390560427244,0.0,0.0,0.0815150646832655,0.05295903358850246
10,0,3,t3,0.05,0.39657258672309353,0.3690800990040007,-0.1291448197414791,-0.8823352748962439,0.0,0.006059643882446841,0.006457240987073955,0.019999999999999997,0.0,0.07082037506684596,0.07486342739741016
10,0,4,t4,0.05,0.3568857221126852,0.33169143997412487,-0.10129660038066426,-0.8557194360278771,0.0,0.004770866016788,0.005064830019033214,0.0,0.0,0.061743025432195175,0.09436407200788935
11,0,0,t0,0.05,0.5926843662800305,0.5384171280956852,-0.2898930038268057,-0.9084381870955387,0.0,0.013861307880722429,0.014494650191340287,0.0,0.0,0.09729782651294294,0.0
11,0,1,t1,0.05,0.5485915951184653,0.49632771388596175,-0.24376321348899932,-0.8952626680008823,0.0,0.011640261314326883,0.012188160674449966,0.02,0.0,0.08919785986578929,0.02887850355228281
11,0,2,t2,0.05,0.5073952014392563,0.4572441945560589,-0.20412465351824757,-0.8798342944927023,0.0,0.009735468625693855,0.010206232675912379,0.0,0.0,0.08152230679729319,0.05561373363957108
