source_model,fold,seed,parameters,approximate_MACs,capacity_ratio_vs_B1
B0_VANILLA_EEGNET,1,0,34162,32895872,0.4986134220743206
B1_STRONG_EEGNET,1,0,68514,65919616,1.0
A2_DUAL_CONTROL,1,0,52292,65775808,0.7632308725224042
PUD_SOURCE,1,0,52292,65775808,0.7632308725224042
A7_IDENTITY_PROTECTED,1,0,52292,65775808,0.7632308725224042
A8_RANDOM_PROTECTED,1,0,52292,65775808,0.7632308725224042
A3_P_ONLY,1,0,52292,65775808,0.7632308725224042
A4_P_PLUS_U,1,0,52292,65775808,0.7632308725224042
A5_P_PLUS_D,1,0,52292,65775808,0.7632308725224042
A9_PCA_PROTECTED,1,0,52292,65775808,0.7632308725224042
