task,fold,session,variant,mean_relative_P_movement,median_relative_P_movement,max_C_preservation_abs_error,label
OpenBMI_MI,0,S1,PCA_POSITIVE_ONLY_ROUTING,0.063145712018013,0.04945039376616478,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S1,SHUFFLED_UTILITY_ROUTING,0.05643593519926071,0.04660934954881668,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S1,PCA_SIGNED_UTILITY_ROUTING,0.06304273009300232,0.049347974359989166,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S1,RANDOM_BASIS_0,0.0037433570250868797,0.003035225672647357,7.152557373046875e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S1,RANDOM_BASIS_1,0.0032519586384296417,0.0024551507085561752,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S1,RANDOM_BASIS_2,0.002523720031604171,0.0020663125906139612,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S1,RANDOM_BASIS_3,0.0031091528944671154,0.002586835529655218,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S1,RANDOM_BASIS_4,0.004476421978324652,0.0034954315051436424,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,PCA_POSITIVE_ONLY_ROUTING,0.05860687419772148,0.046888165175914764,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,SHUFFLED_UTILITY_ROUTING,0.0515686571598053,0.042645011097192764,1.6689300537109375e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,PCA_SIGNED_UTILITY_ROUTING,0.05865229293704033,0.046769365668296814,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,RANDOM_BASIS_0,0.0033542118035256863,0.002628535497933626,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,RANDOM_BASIS_1,0.002955192932859063,0.0021511809900403023,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,RANDOM_BASIS_2,0.0022405299823731184,0.0018058310961350799,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,RANDOM_BASIS_3,0.0028500501066446304,0.0022823645267635584,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,RANDOM_BASIS_4,0.0038692501839250326,0.0029379823245108128,9.5367431640625e-07,POST_HOC_HELDOUT_DIAGNOSTIC
