subject_id,source_fold,BA_NoAdapt_S2,BA_Generic_S2,FutureDeltaBA,NegativeTransfer
14,0,0.8,0.8,0.0,0
19,0,0.73,0.78,0.050000000000000044,0
2,0,0.83,0.86,0.030000000000000027,0
32,0,0.8600000000000001,0.8600000000000001,0.0,0
33,0,0.95,0.95,0.0,0
40,0,0.8200000000000001,0.8200000000000001,0.0,0
47,0,0.95,0.94,-0.010000000000000009,1
50,0,0.63,0.63,0.0,0
53,0,0.8500000000000001,0.8500000000000001,0.0,0
1,1,0.8799999999999999,0.87,-0.009999999999999898,1
10,1,0.85,0.8,-0.04999999999999993,1
16,1,0.9299999999999999,0.9299999999999999,0.0,0
35,1,0.9099999999999999,0.9099999999999999,0.0,0
43,1,0.96,0.96,0.0,0
45,1,0.94,0.94,0.0,0
48,1,0.76,0.77,0.010000000000000009,0
5,1,0.89,0.89,0.0,0
6,1,0.97,0.97,0.0,0
22,2,0.81,0.83,0.019999999999999907,0
26,2,0.9199999999999999,0.9299999999999999,0.010000000000000009,0
34,2,0.76,0.79,0.030000000000000027,0
44,2,0.9199999999999999,0.9199999999999999,0.0,0
52,2,0.8799999999999999,0.87,-0.009999999999999898,1
7,2,0.9299999999999999,0.9299999999999999,0.0,0
15,3,0.94,0.94,0.0,0
20,3,0.95,0.95,0.0,0
21,3,1.0,1.0,0.0,0
27,3,0.96,0.96,0.0,0
28,3,0.98,0.97,-0.010000000000000009,1
38,3,0.87,0.87,0.0,0
41,3,0.8500000000000001,0.8600000000000001,0.010000000000000009,0
46,3,0.85,0.85,0.0,0
9,3,0.8200000000000001,0.81,-0.010000000000000009,1
11,4,0.76,0.81,0.050000000000000044,0
23,4,0.9299999999999999,0.9299999999999999,0.0,0
3,4,0.98,0.98,0.0,0
30,4,0.89,0.9,0.010000000000000009,0
31,4,0.96,0.96,0.0,0
49,4,0.87,0.87,0.0,0
8,4,0.91,0.94,0.029999999999999916,0
