task,dataset,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256,seed,baseline_reused
OpenBMI_ERP,OpenBMI,0,15,LiteBN_BASELINE,0.7884848484848486,0.760514905465532,0.8535353535353535,1980,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,True
OpenBMI_ERP,OpenBMI,0,15,LiteBN_X,0.7648484848484849,0.7476734013460173,0.8505050505050505,1980,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,False
OpenBMI_ERP,OpenBMI,0,3,LiteBN_BASELINE,0.9236363636363636,0.8307939160069486,0.8828282828282829,1980,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,True
OpenBMI_ERP,OpenBMI,0,3,LiteBN_X,0.9330303030303032,0.8540625445146665,0.9025252525252524,1980,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,False
OpenBMI_ERP,OpenBMI,0,32,LiteBN_BASELINE,0.9045454545454544,0.8104684567231942,0.8671717171717171,1980,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,True
OpenBMI_ERP,OpenBMI,0,32,LiteBN_X,0.927878787878788,0.8592807683716774,0.908080808080808,1980,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,False
OpenBMI_ERP,OpenBMI,0,33,LiteBN_BASELINE,0.7578787878787878,0.7613501988748343,0.8691919191919192,1980,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,True
OpenBMI_ERP,OpenBMI,0,33,LiteBN_X,0.7181818181818183,0.7365815012873836,0.8656565656565657,1980,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,False
OpenBMI_ERP,OpenBMI,0,38,LiteBN_BASELINE,0.7287878787878788,0.69065395273547,0.7984848484848485,1980,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,True
OpenBMI_ERP,OpenBMI,0,38,LiteBN_X,0.7493939393939394,0.7460985201541153,0.8570707070707071,1980,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,False
OpenBMI_ERP,OpenBMI,0,47,LiteBN_BASELINE,0.8054545454545454,0.7528296883504766,0.8373737373737373,1980,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,True
OpenBMI_ERP,OpenBMI,0,47,LiteBN_X,0.8878787878787879,0.8500109882059923,0.908080808080808,1980,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,False
OpenBMI_ERP,OpenBMI,0,5,LiteBN_BASELINE,0.6463636363636364,0.56605291005291,0.646969696969697,1980,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,True
OpenBMI_ERP,OpenBMI,0,5,LiteBN_X,0.6751515151515151,0.6340787285159859,0.7494949494949495,1980,d7cb37b6d157154a0cf019578f46678ec502e33a318db647a5d13cdd6c236cee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,False
OpenBMI_ERP,OpenBMI,0,6,LiteBN_BASELINE,0.8821212121212121,0.7882878228596301,0.85,1980,28a3a3391845429b3068a60d65718cddfa31f46d98e01c40f947c61ce3c7b794,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0,True
