version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank,fold,seed,max_epochs,early_stopping_patience,median_pair_epoch
V1,V1__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8339761904761904,0.8344285714285714,-0.0004523809523809,0.0007392464141076,1,1,1,1,2,1,24,5,1.0
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8349047619047619,0.8359285714285715,-0.0010238095238095,0.0022380952380952,2,2,1,1,2,1,24,5,2.0
V1,V1__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8346904761904762,0.8344285714285714,0.0002619047619047,0.0014174167682035,2,2,1,2,2,1,24,5,2.0
V1,V1__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.833952380952381,0.836095238095238,-0.0021428571428571,0.0030304576336566,1,1,1,2,2,1,24,5,1.0
V1,V1__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8345476190476191,0.835,-0.0004523809523809,0.0003719166512336,0,2,2,2,2,1,24,5,2.0
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.834095238095238,0.8359285714285715,-0.0018333333333333,0.0026743087775426,1,1,1,2,2,1,24,5,1.0
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8365952380952381,0.8355714285714285,0.0010238095238095,0.00072060695002,4,0,0,4,0,0,24,5,0.0
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8373333333333333,0.8355714285714285,0.0017619047619047,0.0011527350892295,4,0,0,3,0,0,24,5,0.0
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8377857142857144,0.8355714285714285,0.0022142857142857,0.0012037356818823,5,0,0,1,0,0,24,5,0.0
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8386428571428572,0.8368571428571429,0.0017857142857143,0.0018070158058105,4,2,2,2,0,0,24,5,2.0
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,0.8384761904761906,0.8369047619047618,0.0015714285714285,0.001884415136896,3,2,2,1,0,0,24,5,2.0
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,0.8377857142857144,0.8358571428571426,0.0019285714285714,0.0014914723584158,4,0,2,1,0,0,24,5,1.0
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,0.8379047619047618,0.8369047619047618,0.0009999999999999,0.0009689042833035,3,2,2,1,0,0,24,5,2.0
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,0.8377857142857144,0.8355714285714285,0.0022142857142857,0.0012037356818823,5,0,0,1,0,0,24,5,0.0
V2,V2__lg1__ld0.01__lr0.0001__b8,stage2,1.0,0.01,0.0001,8,0.8384761904761906,0.8369047619047618,0.0015714285714285,0.001884415136896,3,2,2,2,0,0,24,5,2.0
V2,V2__lg1__ld0.01__lr0.0003__b8,stage2,1.0,0.01,0.0003,8,0.8386428571428572,0.837142857142857,0.0015,0.0020503857277725,3,2,4,2,0,0,24,5,3.0
V2,V2__lg1__ld0.1__lr0.0001__b8,stage2,1.0,0.1,0.0001,8,0.8384761904761906,0.8369047619047618,0.0015714285714285,0.001884415136896,3,2,2,2,0,0,24,5,2.0
V2,V2__lg1__ld0.1__lr0.0003__b8,stage2,1.0,0.1,0.0003,8,0.8386428571428572,0.8368571428571429,0.0017857142857143,0.0018070158058105,4,2,2,2,0,0,24,5,2.0
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8361428571428572,0.8365714285714286,-0.0004285714285714,0.0007284313590847,1,4,4,1,0,1,24,5,
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8361666666666666,0.8371428571428572,-0.0009761904761904,0.0025157102746423,2,4,7,4,0,1,24,5,
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8359285714285715,0.8365714285714286,-0.0006428571428571,0.0025990579140943,2,3,4,2,0,1,24,5,
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8357857142857142,0.8365714285714286,-0.0007857142857143,0.0023299294900428,2,3,4,3,0,1,24,5,
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8360476190476189,0.8367857142857142,-0.0007380952380952,0.0007839084587216,0,3,3,1,0,1,24,5,
V2,V2__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8361428571428572,0.8365714285714286,-0.0004285714285714,0.0007284313590847,1,4,4,1,0,1,24,5,
V2,V2__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8360476190476189,0.8367857142857142,-0.0007380952380952,0.0007839084587216,0,3,3,1,0,1,24,5,
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8361428571428572,0.8365714285714286,-0.0004285714285714,0.0007284313590847,1,4,4,1,0,1,24,5,
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,0.8361904761904763,0.8362142857142857,-2.380952380949264e-05,0.0004902681019517,1,3,3,2,0,1,24,5,
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,0.8357857142857142,0.8365714285714286,-0.0007857142857143,0.0024989793835051,2,3,4,2,0,1,24,5,
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,0.8361904761904763,0.8362142857142857,-2.380952380949264e-05,0.0004902681019517,1,3,3,2,0,1,24,5,
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,0.8359285714285715,0.8365714285714286,-0.0006428571428571,0.0025990579140943,2,3,4,2,0,1,24,5,
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8416666666666668,0.8410714285714287,0.000595238095238,0.0003011693009684,4,0,0,2,1,0,24,5,
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8418095238095239,0.8410714285714287,0.0007380952380952,0.0007839084587216,4,0,0,1,1,0,24,5,
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.841357142857143,0.8410714285714287,0.0002857142857142,0.0003499271061118,2,0,0,3,1,0,24,5,
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8410714285714287,0.8410714285714287,2.220446049250313e-17,4.440892098500627e-17,1,0,0,4,1,0,24,5,
V2,V2__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8414047619047619,0.8411190476190477,0.0002857142857142,0.0011605769149479,2,2,2,1,1,0,24,5,
V2,V2__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.8418095238095239,0.8410714285714287,0.0007380952380952,0.0007839084587216,4,0,0,1,1,0,24,5,
V2,V2__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8414047619047619,0.8411190476190477,0.0002857142857142,0.0011605769149479,2,2,2,1,1,0,24,5,
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.8418095238095239,0.8410714285714287,0.0007380952380952,0.0007839084587216,4,0,0,1,1,0,24,5,
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8412619047619048,0.8411190476190477,0.0001428571428571,0.0005345224838248,2,2,2,2,1,0,24,5,
V2,V2__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8416666666666668,0.8410714285714287,0.000595238095238,0.0003011693009684,4,0,0,2,1,0,24,5,
V2,V2__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8412619047619048,0.8411190476190477,0.0001428571428571,0.0005345224838248,2,2,2,2,1,0,24,5,
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8416666666666668,0.8410714285714287,0.000595238095238,0.0003011693009684,4,0,0,2,1,0,24,5,
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.823357142857143,0.8237619047619047,-0.0004047619047618,0.0020056609227288,3,1,1,1,1,1,24,5,
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8227619047619047,0.824047619047619,-0.0012857142857143,0.0044124129175658,3,1,4,2,1,1,24,5,
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8218809523809524,0.824047619047619,-0.0021666666666666,0.0043568175782824,1,6,4,3,1,1,24,5,
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8214523809523809,0.824047619047619,-0.002595238095238,0.0042018244606582,1,1,4,4,1,1,24,5,
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.821595238095238,0.8210476190476189,0.000547619047619,0.0011703053073756,3,4,5,1,1,1,24,5,
V2,V2__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.823357142857143,0.8237619047619047,-0.0004047619047618,0.0020056609227288,3,1,1,1,1,1,24,5,
V2,V2__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8214523809523809,0.8210476190476189,0.0004047619047619,0.0009977298495122,3,4,5,1,1,1,24,5,
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.823357142857143,0.8237619047619047,-0.0004047619047618,0.0020056609227288,3,1,1,1,1,1,24,5,
V2,V2__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8209761904761905,0.8213333333333335,-0.0003571428571428,0.0013552618543578,2,4,5,2,1,1,24,5,
V2,V2__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.8227619047619047,0.824047619047619,-0.0012857142857143,0.0043892261416391,3,1,4,2,1,1,24,5,
V2,V2__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8209761904761905,0.8213333333333335,-0.0003571428571428,0.0013552618543578,2,4,5,2,1,1,24,5,
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.8227619047619047,0.824047619047619,-0.0012857142857143,0.0044124129175658,3,1,4,2,1,1,24,5,
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8134285714285715,0.8138571428571428,-0.0004285714285714,0.0017261494247991,2,2,3,1,2,0,24,5,
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8122857142857141,0.8138571428571428,-0.0015714285714286,0.0028713930346059,1,2,3,2,2,0,24,5,
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8120238095238095,0.8138571428571428,-0.0018333333333333,0.0031690825013285,1,2,3,3,2,0,24,5,
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8112857142857143,0.8138571428571428,-0.0025714285714285,0.0035167238928831,0,3,3,4,2,0,24,5,
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8099523809523811,0.8097857142857142,0.0001666666666667,0.0009630356388646,2,2,2,1,2,0,24,5,
V2,V2__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8135714285714286,0.8138571428571428,-0.0002857142857142,0.0014708043058552,2,2,3,1,2,0,24,5,
V2,V2__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8099523809523811,0.8097857142857142,0.0001666666666667,0.0009630356388646,2,2,2,1,2,0,24,5,
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8134285714285715,0.8138571428571428,-0.0004285714285714,0.0017261494247991,2,2,3,1,2,0,24,5,
V2,V2__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8102380952380953,0.8113571428571429,-0.0011190476190476,0.0017522256659975,2,1,2,2,2,0,24,5,
V2,V2__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.8124523809523808,0.8138571428571428,-0.0014047619047619,0.0029799024470784,2,2,3,2,2,0,24,5,
V2,V2__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8102380952380953,0.8113571428571429,-0.0011190476190476,0.0017522256659975,2,2,2,2,2,0,24,5,
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.8122857142857141,0.8138571428571428,-0.0015714285714286,0.0028713930346059,1,2,3,2,2,0,24,5,
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.835095238095238,0.8354285714285714,-0.0003333333333333,0.0009233675918888,2,2,4,1,2,1,24,5,
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8344999999999999,0.8354285714285714,-0.0009285714285714,0.0020404081224407,1,1,4,3,2,1,24,5,
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8349761904761905,0.8354285714285714,-0.0004523809523809,0.0014761904761904,2,1,4,2,2,1,24,5,
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8342857142857143,0.8354285714285714,-0.0011428571428571,0.00166598625567,1,2,4,4,2,1,24,5,
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8345238095238094,0.8352380952380951,-0.0007142857142857,0.0011952286093344,1,2,2,1,2,1,24,5,
V2,V2__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8349523809523809,0.8355714285714285,-0.0006190476190476,0.0007619047619047,1,2,4,1,2,1,24,5,
V2,V2__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8345238095238094,0.8352380952380951,-0.0007142857142857,0.0011952286093344,1,2,2,1,2,1,24,5,
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.835095238095238,0.8354285714285714,-0.0003333333333333,0.0009233675918888,2,2,4,1,2,1,24,5,
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,0.8352142857142857,0.8356666666666666,-0.0004523809523809,0.0013307798678554,2,6,6,2,2,1,24,5,
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,0.8346904761904762,0.8352857142857143,-0.0005952380952381,0.001388321879725,1,1,4,2,2,1,24,5,
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,0.8352142857142857,0.8356666666666666,-0.0004523809523809,0.0013307798678554,2,6,6,2,2,1,24,5,
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,0.8349761904761905,0.8354285714285714,-0.0004523809523809,0.0014761904761904,2,1,4,2,2,1,24,5,
