task,seed,fold,subject_id,B0_BA,candidate_BA,policy_BA,oracle_BA,policy_delta_vs_B0_pp,policy_delta_vs_candidate_pp,oracle_headroom_pp,trials,disagreement_trials,switched_trials,realized_rescue_count,realized_harm_count,switched_both_wrong_count,intervention_precision,comparison,feature_family,selected_threshold
OpenBMI_ERP,0,0,15,0.7884848484848486,0.7648484848484849,0.7757575757575758,0.8369696969696969,-1.272727272727281,1.0909090909090868,4.848484848484835,1980,190,108,57,51,0,0.5277777777777778,X,F0,0.46
OpenBMI_ERP,0,0,3,0.9236363636363636,0.9330303030303031,0.9299999999999999,0.9551515151515151,0.6363636363636349,-0.3030303030303161,3.1515151515151496,1980,145,105,67,38,0,0.638095238095238,X,F0,0.46
OpenBMI_ERP,0,0,32,0.9045454545454545,0.9278787878787879,0.9248484848484848,0.9436363636363636,2.0303030303030267,-0.303030303030305,3.9090909090909065,1980,161,101,84,17,0,0.8316831683168316,X,F0,0.46
OpenBMI_ERP,0,0,33,0.7578787878787878,0.7181818181818183,0.7481818181818182,0.7996969696969697,-0.9696969696969648,2.9999999999999916,4.181818181818187,1980,155,84,50,34,0,0.5952380952380952,X,F0,0.46
OpenBMI_ERP,0,0,38,0.7287878787878788,0.7493939393939394,0.753030303030303,0.8078787878787879,2.4242424242424288,0.363636363636366,7.90909090909091,1980,230,140,112,28,0,0.8,X,F0,0.46
OpenBMI_ERP,0,0,47,0.8054545454545454,0.8878787878787879,0.8675757575757577,0.9051515151515152,6.212121212121224,-2.0303030303030267,9.969696969696972,1980,222,153,129,24,0,0.8431372549019608,X,F0,0.46
OpenBMI_ERP,0,0,5,0.6463636363636364,0.6751515151515151,0.6609090909090909,0.7760606060606061,1.4545454545454528,-1.4242424242424168,12.969696969696976,1980,469,298,209,89,0,0.7013422818791947,X,F0,0.46
OpenBMI_ERP,0,0,6,0.8821212121212121,0.8845454545454545,0.8896969696969697,0.916060606060606,0.7575757575757569,0.5151515151515129,3.3939393939393936,1980,164,113,71,42,0,0.6283185840707964,X,F0,0.46
OpenBMI_ERP,0,1,14,0.7593939393939394,0.7454545454545454,0.7678787878787878,0.8136363636363636,0.8484848484848428,2.2424242424242458,5.42424242424242,1980,220,144,82,62,0,0.5694444444444444,X,F0,0.44
OpenBMI_ERP,0,1,2,0.9766666666666667,0.9754545454545455,0.9775757575757575,0.9863636363636363,0.09090909090908594,0.21212121212120794,0.9696969696969648,1980,68,55,29,26,0,0.5272727272727272,X,F0,0.44
OpenBMI_ERP,0,1,26,0.9412121212121212,0.9445454545454546,0.9503030303030303,0.9715151515151514,0.909090909090915,0.5757575757575739,3.0303030303030276,1980,125,84,43,41,0,0.5119047619047619,X,F0,0.44
OpenBMI_ERP,0,1,28,0.9187878787878788,0.9257575757575758,0.9357575757575758,0.96,1.6969696969696968,1.0000000000000009,4.121212121212114,1980,173,118,69,49,0,0.5847457627118644,X,F0,0.44
OpenBMI_ERP,0,1,31,0.9272727272727272,0.916060606060606,0.923939393939394,0.9496969696969697,-0.33333333333332993,0.787878787878793,2.2424242424242458,1980,153,103,48,55,0,0.46601941747572817,X,F0,0.44
OpenBMI_ERP,0,1,35,0.87,0.8721212121212121,0.88,0.9209090909090909,1.0000000000000009,0.787878787878793,5.09090909090909,1980,177,113,73,40,0,0.6460176991150443,X,F0,0.44
OpenBMI_ERP,0,1,40,0.7966666666666666,0.826060606060606,0.8263636363636364,0.8857575757575757,2.9696969696969777,0.03030303030303605,8.90909090909091,1980,267,208,127,81,0,0.6105769230769231,X,F0,0.44
OpenBMI_ERP,0,1,43,0.936060606060606,0.9330303030303031,0.94,0.9590909090909091,0.3939393939393909,0.6969696969696848,2.3030303030303068,1980,138,81,39,42,0,0.48148148148148145,X,F0,0.44
