comparison,task,target,feature_family,heldout_fold,evaluation_scope,n_rows,n_rescue,ROC_AUC,PR_AUC,balanced_accuracy,precision_RESCUE,recall_RESCUE
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,3,seed0,140,61,0.6075949367088607,0.5951462950179522,0.5836273085702428,0.5135135135135135,0.6229508196721312
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F0,4,seed0,121,70,0.5117647058823529,0.6543449430398431,0.5226890756302521,0.6037735849056604,0.45714285714285713
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,0,seed0,134,73,0.5266112732988996,0.581923685254909,0.4912418594206153,0.5375,0.589041095890411
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,1,seed0,109,65,0.5832167832167832,0.6734646035994949,0.559965034965035,0.675,0.4153846153846154
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,2,seed0,181,90,0.5711843711843712,0.594167419031476,0.5202075702075702,0.5126050420168067,0.6777777777777778
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,3,seed0,140,61,0.6026146503423947,0.5934317496720358,0.6216019921145466,0.5588235294117647,0.6229508196721312
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F1,4,seed0,121,70,0.46750700280112045,0.5847811423920489,0.42380952380952375,0.5142857142857142,0.5142857142857142
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,0,seed0,134,73,0.5488434763081068,0.5879619026908023,0.547159218504379,0.59375,0.5205479452054794
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,1,seed0,109,65,0.462937062937063,0.5814296399620711,0.4571678321678322,0.5729166666666666,0.8461538461538461
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,2,seed0,181,90,0.4736263736263736,0.48348374276597583,0.4756410256410256,0.4766355140186916,0.5666666666666667
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,3,seed0,140,61,0.5262502593899149,0.46747824995821413,0.4921145465864287,0.43103448275862066,0.819672131147541
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,F2,4,seed0,121,70,0.4221288515406163,0.5415734800817457,0.419047619047619,0.41379310344827586,0.17142857142857143
X,OpenBMI_MI,SAFE_SWITCH,F0,0,seed0,134,73,0.5434538513361779,0.6097240179869419,0.5007859869750729,0.5454545454545454,0.5753424657534246
