comparison,task,seed,fold,method,rows,predictions_exact,max_abs_logit_difference,embedding_dim,expected_embedding_dim,dimension_pass,historical_default_numerics,status
XS,OpenBMI_ERP,2,1,LiteBN_XS,15840,True,0.0,128,128,True,False,PASS
XS,OpenBMI_ERP,0,2,B0,15840,True,0.0,64,64,True,False,PASS
XS,OpenBMI_ERP,0,2,LiteBN_XS,15840,True,0.0,128,128,True,False,PASS
XS,OpenBMI_ERP,1,2,LiteBN_XS,15840,True,0.0,128,128,True,False,PASS
XS,OpenBMI_ERP,2,2,LiteBN_XS,15840,True,0.0,128,128,True,False,PASS
XS,OpenBMI_ERP,0,3,B0,15840,True,0.0,64,64,True,False,PASS
XS,OpenBMI_ERP,0,3,LiteBN_XS,15840,True,0.0,128,128,True,False,PASS
XS,OpenBMI_ERP,1,3,LiteBN_XS,15840,True,0.0,128,128,True,True,PASS
XS,OpenBMI_ERP,2,3,LiteBN_XS,15840,True,0.0,128,128,True,True,PASS
XS,OpenBMI_ERP,0,4,B0,15840,True,0.0,64,64,True,False,PASS
XS,OpenBMI_ERP,0,4,LiteBN_XS,15840,True,0.0,128,128,True,False,PASS
XS,OpenBMI_ERP,1,4,LiteBN_XS,15840,True,0.0,128,128,True,False,PASS
XS,OpenBMI_ERP,2,4,LiteBN_XS,15840,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,0,0,B0,800,True,0.0,64,64,True,False,PASS
XS,OpenBMI_SSVEP,0,0,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,1,0,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,2,0,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,0,1,B0,800,True,0.0,64,64,True,False,PASS
XS,OpenBMI_SSVEP,0,1,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,1,1,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,2,1,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,0,2,B0,800,True,0.0,64,64,True,False,PASS
XS,OpenBMI_SSVEP,0,2,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,1,2,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,2,2,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,0,3,B0,800,True,0.0,64,64,True,False,PASS
XS,OpenBMI_SSVEP,0,3,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,1,3,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,2,3,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,0,4,B0,800,True,0.0,64,64,True,False,PASS
XS,OpenBMI_SSVEP,0,4,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,1,4,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,OpenBMI_SSVEP,2,4,LiteBN_XS,800,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,0,0,B0,1400,True,0.0,64,64,True,False,PASS
XS,WBCIC_MI,0,0,LiteBN_XS,1400,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,1,0,LiteBN_XS,1400,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,2,0,LiteBN_XS,1400,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,0,1,B0,1200,True,0.0,64,64,True,False,PASS
XS,WBCIC_MI,0,1,LiteBN_XS,1200,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,1,1,LiteBN_XS,1200,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,2,1,LiteBN_XS,1200,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,0,2,B0,1200,True,0.0,64,64,True,False,PASS
XS,WBCIC_MI,0,2,LiteBN_XS,1200,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,1,2,LiteBN_XS,1200,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,2,2,LiteBN_XS,1200,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,0,3,B0,1195,True,0.0,64,64,True,False,PASS
XS,WBCIC_MI,0,3,LiteBN_XS,1195,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,1,3,LiteBN_XS,1195,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,2,3,LiteBN_XS,1195,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,0,4,B0,1200,True,0.0,64,64,True,False,PASS
XS,WBCIC_MI,0,4,LiteBN_XS,1200,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,1,4,LiteBN_XS,1200,True,0.0,128,128,True,False,PASS
XS,WBCIC_MI,2,4,LiteBN_XS,1200,True,0.0,128,128,True,False,PASS
