fold,seed,task,metric,subject,session,representation,value
0,0,mi,alignment,11,1,protected,0.9227335508960938
0,0,mi,alignment,11,2,protected,0.9081974353090141
0,0,mi,alignment,12,1,protected,0.8876194968621858
0,0,mi,alignment,12,2,protected,0.856053657125836
0,0,mi,alignment,15,1,protected,0.900156082405339
0,0,mi,alignment,15,2,protected,0.7006640171476644
0,0,mi,alignment,16,1,protected,0.920297864622133
0,0,mi,alignment,16,2,protected,0.9696437364007183
0,0,mi,alignment,18,1,protected,0.9973902574570105
0,0,mi,alignment,18,2,protected,0.989797635740478
0,0,mi,alignment,20,1,protected,0.8656139353211739
0,0,mi,alignment,20,2,protected,0.9712975591029247
0,0,mi,alignment,21,1,protected,0.9556463241505013
0,0,mi,alignment,21,2,protected,0.9303586351963011
0,0,mi,alignment,22,1,protected,0.9309614609763533
0,0,mi,alignment,22,2,protected,0.868370048733726
0,0,mi,alignment,23,1,protected,0.994744179216276
0,0,mi,alignment,23,2,protected,0.973397508673504
0,0,mi,alignment,24,1,protected,0.9411607362382508
0,0,mi,alignment,24,2,protected,0.48598087947803686
0,0,mi,alignment,25,1,protected,0.7157721082658989
0,0,mi,alignment,25,2,protected,0.9657006346481178
0,0,mi,alignment,26,1,protected,0.9061540273392434
0,0,mi,alignment,26,2,protected,0.9686743929974164
0,0,mi,alignment,27,1,protected,0.8327006602721702
0,0,mi,alignment,27,2,protected,0.9853936859554128
0,0,mi,alignment,29,1,protected,0.9471371079143289
0,0,mi,alignment,29,2,protected,0.931565750359795
0,0,mi,alignment,30,1,protected,0.9409401350763485
0,0,mi,alignment,30,2,protected,0.9856638795801326
0,0,mi,alignment,31,1,protected,0.8993441045104729
0,0,mi,alignment,31,2,protected,0.9078741039380349
0,0,mi,alignment,34,1,protected,0.7782001095724247
0,0,mi,alignment,34,2,protected,0.8447270315141446
0,0,mi,alignment,35,1,protected,0.828109741863191
0,0,mi,alignment,35,2,protected,0.9552675438640847
0,0,mi,alignment,37,1,protected,0.9819873967830851
0,0,mi,alignment,37,2,protected,0.9502924624850664
0,0,mi,alignment,38,1,protected,0.9825260070403383
0,0,mi,alignment,38,2,protected,0.9488534484412475
0,0,mi,alignment,39,1,protected,0.9847861341918271
0,0,mi,alignment,39,2,protected,0.938335769376523
0,0,mi,alignment,4,1,protected,0.866492848181082
0,0,mi,alignment,4,2,protected,0.8631805637724923
0,0,mi,alignment,41,1,protected,0.33766531340977035
0,0,mi,alignment,41,2,protected,0.9544828054790564
0,0,mi,alignment,42,1,protected,0.8976052602864177
0,0,mi,alignment,42,2,protected,0.9634228084007896
0,0,mi,alignment,43,1,protected,0.9479518296200855
0,0,mi,alignment,43,2,protected,0.9274183843522282
0,0,mi,alignment,44,1,protected,0.9786164929123905
0,0,mi,alignment,44,2,protected,0.9576444478185566
0,0,mi,alignment,46,1,protected,0.9607354738158654
0,0,mi,alignment,46,2,protected,0.9032819518425937
0,0,mi,alignment,49,1,protected,0.8520982135827456
0,0,mi,alignment,49,2,protected,0.979666057614375
0,0,mi,alignment,5,1,protected,0.9594492599796
0,0,mi,alignment,5,2,protected,0.9920296992445337
0,0,mi,alignment,51,1,protected,0.976954254517991
0,0,mi,alignment,51,2,protected,0.7543359885140053
0,0,mi,alignment,52,1,protected,0.9892667320158003
0,0,mi,alignment,52,2,protected,0.9539005763329155
0,0,mi,alignment,7,1,protected,0.8448802645431764
0,0,mi,alignment,7,2,protected,0.7938917854399244
0,0,mi,alignment,8,1,protected,0.9782284297949028
0,0,mi,alignment,8,2,protected,0.9926016544346956
0,0,mi,alignment,9,1,protected,0.9572400992803186
0,0,mi,alignment,9,2,protected,0.9799196979254001
0,0,mi,cross_session,11,1->2,protected,0.900921703597347
0,0,mi,cross_session,11,2->1,protected,0.921044824414971
0,0,mi,cross_session,12,1->2,protected,0.8659673983249302
0,0,mi,cross_session,12,2->1,protected,0.8717611262951008
0,0,mi,cross_session,15,1->2,protected,0.6894370102484636
0,0,mi,cross_session,15,2->1,protected,0.9176803748451986
0,0,mi,cross_session,16,1->2,protected,0.9728229233926676
0,0,mi,cross_session,16,2->1,protected,0.9205529995568739
0,0,mi,cross_session,18,1->2,protected,0.9937815939376838
0,0,mi,cross_session,18,2->1,protected,0.9948166994392018
0,0,mi,cross_session,20,1->2,protected,0.9638514419283667
0,0,mi,cross_session,20,2->1,protected,0.8899860436050487
0,0,mi,cross_session,21,1->2,protected,0.938392612063539
0,0,mi,cross_session,21,2->1,protected,0.9561872280085666
0,0,mi,cross_session,22,1->2,protected,0.8504796300923724
0,0,mi,cross_session,22,2->1,protected,0.9455006094726979
0,0,mi,cross_session,23,1->2,protected,0.9695674598737737
0,0,mi,cross_session,23,2->1,protected,0.9940582921656017
0,0,mi,cross_session,24,1->2,protected,0.4552324991227711
0,0,mi,cross_session,24,2->1,protected,0.9500315644384969
0,0,mi,cross_session,25,1->2,protected,0.9692792163879385
0,0,mi,cross_session,25,2->1,protected,0.7046821091893739
0,0,mi,cross_session,26,1->2,protected,0.9762614268839197
0,0,mi,cross_session,26,2->1,protected,0.9198901092275775
0,0,mi,cross_session,27,1->2,protected,0.9830554595053297
0,0,mi,cross_session,27,2->1,protected,0.844140188396285
0,0,mi,cross_session,29,1->2,protected,0.9185977487776538
0,0,mi,cross_session,29,2->1,protected,0.9593088508746936
0,0,mi,cross_session,30,1->2,protected,0.9880475371786207
0,0,mi,cross_session,30,2->1,protected,0.9279108327329768
0,0,mi,cross_session,31,1->2,protected,0.9099177275717062
0,0,mi,cross_session,31,2->1,protected,0.9143764511011022
0,0,mi,cross_session,34,1->2,protected,0.8434390720195615
0,0,mi,cross_session,34,2->1,protected,0.7664399993714357
0,0,mi,cross_session,35,1->2,protected,0.9557477691724895
0,0,mi,cross_session,35,2->1,protected,0.824620481103486
0,0,mi,cross_session,37,1->2,protected,0.9533628001274034
0,0,mi,cross_session,37,2->1,protected,0.9753948494125335
0,0,mi,cross_session,38,1->2,protected,0.9424632996203139
0,0,mi,cross_session,38,2->1,protected,0.9754931450225839
0,0,mi,cross_session,39,1->2,protected,0.949447089702695
0,0,mi,cross_session,39,2->1,protected,0.9877523476725673
0,0,mi,cross_session,4,1->2,protected,0.8555517274387727
0,0,mi,cross_session,4,2->1,protected,0.8653168505503911
0,0,mi,cross_session,41,1->2,protected,0.9536623057940252
0,0,mi,cross_session,41,2->1,protected,0.3228695397680174
0,0,mi,cross_session,42,1->2,protected,0.9612717239893821
0,0,mi,cross_session,42,2->1,protected,0.9082196298924541
0,0,mi,cross_session,43,1->2,protected,0.9196402600362563
0,0,mi,cross_session,43,2->1,protected,0.950559570152521
0,0,mi,cross_session,44,1->2,protected,0.9648147816054994
0,0,mi,cross_session,44,2->1,protected,0.9721511091050574
0,0,mi,cross_session,46,1->2,protected,0.9213236627992453
0,0,mi,cross_session,46,2->1,protected,0.9470826136478909
0,0,mi,cross_session,49,1->2,protected,0.9721715312808478
0,0,mi,cross_session,49,2->1,protected,0.8766896131865732
0,0,mi,cross_session,5,1->2,protected,0.9906207000110862
0,0,mi,cross_session,5,2->1,protected,0.9579219573722711
0,0,mi,cross_session,51,1->2,protected,0.7892997548211395
0,0,mi,cross_session,51,2->1,protected,0.9859002080578918
0,0,mi,cross_session,52,1->2,protected,0.9630822745161495
0,0,mi,cross_session,52,2->1,protected,0.9923586816905644
0,0,mi,cross_session,7,1->2,protected,0.7891070254487647
0,0,mi,cross_session,7,2->1,protected,0.8390515396235302
0,0,mi,cross_session,8,1->2,protected,0.9902471440820793
0,0,mi,cross_session,8,2->1,protected,0.9732293496681751
0,0,mi,cross_session,9,1->2,protected,0.9806710630808619
0,0,mi,cross_session,9,2->1,protected,0.9581245238772319
0,0,mi,margin,11,both,protected,0.35339409000773797
0,0,mi,margin,12,both,protected,0.5776631113410927
0,0,mi,margin,15,both,protected,0.6333537418788098
0,0,mi,margin,16,both,protected,0.9087645115513057
0,0,mi,margin,18,both,protected,0.9517548088336699
0,0,mi,margin,20,both,protected,0.6446592538466397
0,0,mi,margin,21,both,protected,0.8612729520065574
0,0,mi,margin,22,both,protected,0.6897113178007144
0,0,mi,margin,23,both,protected,0.9349863917768853
0,0,mi,margin,24,both,protected,0.34300981171516853
0,0,mi,margin,25,both,protected,0.8683971615142492
0,0,mi,margin,26,both,protected,0.9639392259603224
0,0,mi,margin,27,both,protected,0.6169946935958694
0,0,mi,margin,29,both,protected,0.8743164986456583
0,0,mi,margin,30,both,protected,0.7712829932380348
0,0,mi,margin,31,both,protected,0.6395379381374794
0,0,mi,margin,34,both,protected,0.4642956332264104
0,0,mi,margin,35,both,protected,0.8165107017343112
0,0,mi,margin,37,both,protected,0.9152487898135648
0,0,mi,margin,38,both,protected,0.4684036303368477
0,0,mi,margin,39,both,protected,0.9519339840056684
0,0,mi,margin,4,both,protected,0.2726602777475292
0,0,mi,margin,41,both,protected,0.22205671631191076
0,0,mi,margin,42,both,protected,0.5991261111323474
0,0,mi,margin,43,both,protected,0.8601357061781756
0,0,mi,margin,44,both,protected,0.9044886348287251
0,0,mi,margin,46,both,protected,0.5716870776469295
0,0,mi,margin,49,both,protected,0.5711104502056548
0,0,mi,margin,5,both,protected,0.9490632044465663
0,0,mi,margin,51,both,protected,0.6166122551528718
0,0,mi,margin,52,both,protected,0.7343647512897455
0,0,mi,margin,7,both,protected,0.5748199113561008
0,0,mi,margin,8,both,protected,0.9451150777188487
0,0,mi,margin,9,both,protected,0.9074082034724621
0,0,erp,alignment,11,1,protected,0.97663039806495
0,0,erp,alignment,11,2,protected,0.9751277766531764
0,0,erp,alignment,12,1,protected,0.9227907605498455
0,0,erp,alignment,12,2,protected,0.9608973975896303
0,0,erp,alignment,15,1,protected,0.957727785534313
0,0,erp,alignment,15,2,protected,0.8501948982519867
0,0,erp,alignment,16,1,protected,0.8837679557520451
0,0,erp,alignment,16,2,protected,0.9286866005271269
0,0,erp,alignment,18,1,protected,0.858861575553692
0,0,erp,alignment,18,2,protected,0.9223679500306586
0,0,erp,alignment,20,1,protected,0.9281674308376541
0,0,erp,alignment,20,2,protected,0.723527395364774
0,0,erp,alignment,21,1,protected,0.6664990255264115
0,0,erp,alignment,21,2,protected,0.31823924664540726
0,0,erp,alignment,22,1,protected,0.8317029460008517
0,0,erp,alignment,22,2,protected,0.6917648560806506
0,0,erp,alignment,23,1,protected,0.15556173290588715
0,0,erp,alignment,23,2,protected,-0.3937422394995815
0,0,erp,alignment,24,1,protected,0.8816058103864771
0,0,erp,alignment,24,2,protected,0.9101880474680029
0,0,erp,alignment,25,1,protected,0.9722048833772202
0,0,erp,alignment,25,2,protected,0.8984062747731754
0,0,erp,alignment,26,1,protected,0.8224493425912813
0,0,erp,alignment,26,2,protected,0.9414955759827672
0,0,erp,alignment,27,1,protected,0.977190776548781
0,0,erp,alignment,27,2,protected,0.7953054380364555
0,0,erp,alignment,29,1,protected,0.8800416004460485
0,0,erp,alignment,29,2,protected,0.9436461904508752
0,0,erp,alignment,30,1,protected,0.9356596862382697
0,0,erp,alignment,30,2,protected,0.9758097549068305
0,0,erp,alignment,31,1,protected,0.9300743961379883
0,0,erp,alignment,31,2,protected,0.924742979708149
0,0,erp,alignment,34,1,protected,0.6068328650816983
0,0,erp,alignment,34,2,protected,0.7198224642561943
0,0,erp,alignment,35,1,protected,0.9072987020764703
0,0,erp,alignment,35,2,protected,0.47559901532005605
0,0,erp,alignment,37,1,protected,0.4692604111122814
0,0,erp,alignment,37,2,protected,0.6124463452056488
0,0,erp,alignment,38,1,protected,0.7446427663757277
0,0,erp,alignment,38,2,protected,0.6461057408168337
0,0,erp,alignment,39,1,protected,0.9117943113609734
0,0,erp,alignment,39,2,protected,0.9243069830295811
0,0,erp,alignment,4,1,protected,0.9911985578728794
0,0,erp,alignment,4,2,protected,0.9495278808107508
0,0,erp,alignment,41,1,protected,0.9980187872127533
0,0,erp,alignment,41,2,protected,0.9998194981246112
0,0,erp,alignment,42,1,protected,0.7692295227567711
