task,fold,XS_checkpoint,XS_checkpoint_sha256,normalizer_sha256,max_abs_logit_difference,prediction_mismatch_count,XS_BA,residual_epoch0_BA,XS_macro_F1,residual_epoch0_macro_F1,XS_accuracy,residual_epoch0_accuracy,pass
OpenBMI_ERP,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold0_litebn_xs/selected_best.pt,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,0.0,0,0.8703030303030304,0.8703030303030304,0.8344576563333945,0.8344576563333945,0.8986531986531987,0.8986531986531987,True
OpenBMI_ERP,1,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold1_litebn_xs/selected_best.pt,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,0.0,0,0.8295454545454546,0.8295454545454546,0.766032081869594,0.766032081869594,0.8428451178451178,0.8428451178451178,True
OpenBMI_ERP,2,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold2_litebn_xs/selected_best.pt,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,0.0,0,0.7959090909090909,0.7959090909090909,0.7637118278572588,0.7637118278572588,0.8537878787878788,0.8537878787878788,True
OpenBMI_ERP,3,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold3_litebn_xs/selected_best.pt,1230cf93472f7bb3f81a4c38e1ca3c3463be40d50e8a18d7be07a2ffbfcdf823,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,0.0,0,0.8448484848484848,0.8448484848484848,0.8153117919948214,0.8153117919948214,0.8882154882154882,0.8882154882154882,True
OpenBMI_ERP,4,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold4_litebn_xs/selected_best.pt,ea1b30eee85289707c1151d2380f683c7d617a435c313470a2b989d94c3da2f1,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,0.0,0,0.8194444444444444,0.8194444444444444,0.7886938498239434,0.7886938498239434,0.8707912457912458,0.8707912457912458,True
OpenBMI_MI,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold0_litebn_xs/selected_best.pt,5211f4faca2be10f67b149e8e3186e19962eaa3687f69b2ac02c9c0fc81e6857,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,0.0,0,0.7683333333333333,0.7683333333333333,0.7681884511152803,0.7681884511152803,0.7683333333333333,0.7683333333333333,True
OpenBMI_MI,1,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold1_litebn_xs/selected_best.pt,ecbadf46786c166497f0d1c790cb0597dc7e9146465e97b797f34142401f968c,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,0.0,0,0.81,0.81,0.8097442116623461,0.8097442116623461,0.81,0.81,True
OpenBMI_MI,2,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold2_litebn_xs/selected_best.pt,a08650e49617551c705b49a346ea5745bd0bc05b4b731791a4ad25a64bd37d4d,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,0.0,0,0.8049999999999999,0.8049999999999999,0.8044780650569994,0.8044780650569994,0.805,0.805,True
OpenBMI_MI,3,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold3_litebn_xs/selected_best.pt,13d7c17d04ccd9096d1df47988876f23fedabf1b9092ee47e7f9c426f661fdbc,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,0.0,0,0.8266666666666667,0.8266666666666667,0.8259686074141837,0.8259686074141837,0.8266666666666667,0.8266666666666667,True
OpenBMI_MI,4,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold4_litebn_xs/selected_best.pt,4738b01561d03d42a89344e23f72ff932eb2b8e938d0f579985d1b199b4c0061,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,0.0,0,0.7516666666666667,0.7516666666666667,0.7495622942783109,0.7495622942783109,0.7516666666666667,0.7516666666666667,True
OpenBMI_SSVEP,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_ssvep/fold0_litebn_xs/selected_best.pt,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,0.0,0,0.9566666666666667,0.9566666666666667,0.9567929038525856,0.9567929038525856,0.9566666666666667,0.9566666666666667,True
