model,fold,seed,subject_id,alpha_match,candidate_count_match,structured_valid,random_valid,matched_valid,valid_count_match,whitened_norm_error
ATCNet-CleanRoom,0,0,14,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,17,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,49,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,50,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,34,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,42,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,12,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,22,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,14,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,9,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,38,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,7,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,17,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,34,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,17,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,50,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,29,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,41,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,29,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,29,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,29,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,22,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,7,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,1.1920928955078125e-07
ATCNet-CleanRoom,0,0,32,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,49,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,4.4703483581542975e-08
ATCNet-CleanRoom,0,0,42,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,38,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,29,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,32,True,True,7,7,7,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,22,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,4.4703483581542975e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,14,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,31,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,22,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,7,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,22,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,17,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,42,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,12,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,22,True,True,24,24,24,True,4.4703483581542975e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,41,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,17,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,9,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,42,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,22,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,42,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,12,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,42,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,47,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,22,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,7,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,50,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,4,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,50,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,32,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,1.1920928955078125e-07
ATCNet-CleanRoom,0,0,32,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,9,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,17,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,12,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,7,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,17,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,49,True,True,21,9,9,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,17,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,12,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,29,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,23,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,50,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,14,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,7,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,14,True,True,0,0,0,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,50,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,32,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,42,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,12,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,12,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,42,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,9,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,38,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,34,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,32,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,31,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,38,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,50,True,True,24,24,24,True,4.4703483581542975e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,12,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,29,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,38,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,50,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,14,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,14,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,42,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,17,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,14,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,7,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,1.4901161193847656e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,9,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,42,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,42,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,17,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,14,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,12,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,31,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,29,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,34,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,9,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,7,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,32,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,29,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,22,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,14,True,True,24,24,24,True,1.1920928955078125e-07
ATCNet-CleanRoom,0,0,29,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,29,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,7,True,True,22,19,19,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,14,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,14,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,17,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,14,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,38,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,32,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,7,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,14,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,41,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,35,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,32,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,32,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,9,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,50,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,14,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,48,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,38,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,29,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,17,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,26,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,50,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,6,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,49,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,38,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,32,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,25,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,12,True,True,0,0,0,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,41,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,22,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,34,True,True,0,0,0,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,30,True,True,24,24,24,True,8.940696716308595e-08
ATCNet-CleanRoom,0,0,47,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,42,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,23,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,31,True,True,24,24,24,True,5.960464477539064e-08
ATCNet-CleanRoom,0,0,9,True,True,24,24,24,True,2.9802322387695312e-08
ATCNet-CleanRoom,0,0,24,True,True,24,24,24,True,2.9802322387695312e-08
