task,fold,condition,initial_hash,manifest_hash,selected_epoch,inner_val_BA,checkpoint
OpenBMI_MI,0,CE,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,c18c305a0601307f2c35e6d1ebe3f484865ed510a5914538b4486566801fd071,17,0.6866666666666666,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE/fold0/selected.pt
OpenBMI_MI,0,CE_PLUS_PRD,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,c18c305a0601307f2c35e6d1ebe3f484865ed510a5914538b4486566801fd071,25,0.6933333333333334,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE_PLUS_PRD/fold0/selected.pt
OpenBMI_MI,1,CE,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,c99404d36f27531e8867e1f81ea192d7083de315ff5f3c4b50bb8e725e2f7164,29,0.765,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE/fold1/selected.pt
OpenBMI_MI,1,CE_PLUS_PRD,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,c99404d36f27531e8867e1f81ea192d7083de315ff5f3c4b50bb8e725e2f7164,29,0.7616666666666667,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE_PLUS_PRD/fold1/selected.pt
OpenBMI_MI,2,CE,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,9cb9b0e61996608390ba756be74dd038e20bb62716d66adabf18a2617b3d1805,29,0.7633333333333333,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE/fold2/selected.pt
OpenBMI_MI,2,CE_PLUS_PRD,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,9cb9b0e61996608390ba756be74dd038e20bb62716d66adabf18a2617b3d1805,27,0.7483333333333332,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE_PLUS_PRD/fold2/selected.pt
OpenBMI_MI,3,CE,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,8c165d75af4e5c089ca432d3a0a22314a78361eb8571123f4bd2fafe4bc0db57,21,0.7283333333333334,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE/fold3/selected.pt
OpenBMI_MI,3,CE_PLUS_PRD,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,8c165d75af4e5c089ca432d3a0a22314a78361eb8571123f4bd2fafe4bc0db57,14,0.7250000000000001,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE_PLUS_PRD/fold3/selected.pt
OpenBMI_MI,4,CE,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,1c502b753439262164958e84325e66482f5fd3b65392faeef216a650d901d07b,21,0.7316666666666668,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE/fold4/selected.pt
OpenBMI_MI,4,CE_PLUS_PRD,9616e16d8f78600e28924dc7b46961e1f3f205fc43ed7d9ce34bd5ecb8094258,1c502b753439262164958e84325e66482f5fd3b65392faeef216a650d901d07b,15,0.725,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_prd_seed0_v1/runtime/checkpoints/OpenBMI_MI/CE_PLUS_PRD/fold4/selected.pt
