subject_id,fold,method,action_alpha,BA_NoAdapt,BA_Strong_Generic,BA_Guard,rescued,new_harm,internal_holdout_used
21,3,V3_PERSIST_TRUST_REGION,0.75,0.86,0.86,0.86,False,False,False
27,3,V3_PERSIST_TRUST_REGION,0.75,0.8999999999999999,0.9099999999999999,0.9099999999999999,False,False,False
28,3,V3_PERSIST_TRUST_REGION,0.75,0.85,0.87,0.86,False,False,False
38,3,V3_PERSIST_TRUST_REGION,0.75,0.72,0.73,0.74,False,False,False
41,3,V3_PERSIST_TRUST_REGION,0.75,0.73,0.74,0.74,False,False,False
46,3,V3_PERSIST_TRUST_REGION,1.0,0.66,0.64,0.64,False,False,False
3,4,V3_PERSIST_TRUST_REGION,1.0,0.83,0.84,0.84,False,False,False
8,4,V3_PERSIST_TRUST_REGION,1.0,0.73,0.77,0.77,False,False,False
11,4,V3_PERSIST_TRUST_REGION,1.0,0.6699999999999999,0.7,0.7,False,False,False
23,4,V3_PERSIST_TRUST_REGION,1.0,0.63,0.64,0.64,False,False,False
30,4,V3_PERSIST_TRUST_REGION,1.0,0.7,0.71,0.71,False,False,False
31,4,V3_PERSIST_TRUST_REGION,1.0,0.88,0.8600000000000001,0.8600000000000001,False,False,False
49,4,V3_PERSIST_TRUST_REGION,1.0,0.87,0.86,0.86,False,False,False
2,0,V4_FULL_FIXED_SHRINK,1.0,0.79,0.79,0.79,False,False,False
14,0,V4_FULL_FIXED_SHRINK,1.0,0.7,0.69,0.69,False,False,False
19,0,V4_FULL_FIXED_SHRINK,1.0,0.64,0.7,0.7,False,False,False
32,0,V4_FULL_FIXED_SHRINK,1.0,0.63,0.65,0.65,False,False,False
33,0,V4_FULL_FIXED_SHRINK,1.0,0.8,0.79,0.79,False,False,False
40,0,V4_FULL_FIXED_SHRINK,1.0,0.81,0.81,0.81,False,False,False
47,0,V4_FULL_FIXED_SHRINK,1.0,0.8899999999999999,0.88,0.88,False,False,False
50,0,V4_FULL_FIXED_SHRINK,1.0,0.5700000000000001,0.61,0.61,False,False,False
53,0,V4_FULL_FIXED_SHRINK,1.0,0.76,0.75,0.75,False,False,False
1,1,V4_FULL_FIXED_SHRINK,1.0,0.66,0.69,0.69,False,False,False
5,1,V4_FULL_FIXED_SHRINK,1.0,0.79,0.81,0.81,False,False,False
6,1,V4_FULL_FIXED_SHRINK,1.0,0.94,0.96,0.96,False,False,False
10,1,V4_FULL_FIXED_SHRINK,1.0,0.71,0.73,0.73,False,False,False
16,1,V4_FULL_FIXED_SHRINK,1.0,0.8300000000000001,0.85,0.85,False,False,False
35,1,V4_FULL_FIXED_SHRINK,1.0,0.79,0.8,0.8,False,False,False
43,1,V4_FULL_FIXED_SHRINK,0.75,0.8999999999999999,0.8999999999999999,0.8999999999999999,False,False,False
45,1,V4_FULL_FIXED_SHRINK,1.0,0.76,0.81,0.81,False,False,False
48,1,V4_FULL_FIXED_SHRINK,1.0,0.74,0.7,0.7,False,False,False
7,2,V4_FULL_FIXED_SHRINK,1.0,0.73,0.76,0.76,False,False,False
22,2,V4_FULL_FIXED_SHRINK,1.0,0.7,0.7,0.7,False,False,False
26,2,V4_FULL_FIXED_SHRINK,1.0,0.87,0.88,0.88,False,False,False
34,2,V4_FULL_FIXED_SHRINK,1.0,0.6699999999999999,0.6699999999999999,0.6699999999999999,False,False,False
44,2,V4_FULL_FIXED_SHRINK,1.0,0.75,0.76,0.76,False,False,False
52,2,V4_FULL_FIXED_SHRINK,1.0,0.79,0.76,0.76,False,False,False
9,3,V4_FULL_FIXED_SHRINK,0.75,0.6100000000000001,0.62,0.63,False,False,False
15,3,V4_FULL_FIXED_SHRINK,1.0,0.85,0.86,0.86,False,False,False
20,3,V4_FULL_FIXED_SHRINK,1.0,0.85,0.85,0.85,False,False,False
21,3,V4_FULL_FIXED_SHRINK,1.0,0.86,0.86,0.86,False,False,False
27,3,V4_FULL_FIXED_SHRINK,0.75,0.8999999999999999,0.9099999999999999,0.9099999999999999,False,False,False
28,3,V4_FULL_FIXED_SHRINK,0.75,0.85,0.87,0.86,False,False,False
38,3,V4_FULL_FIXED_SHRINK,0.75,0.72,0.73,0.74,False,False,False
41,3,V4_FULL_FIXED_SHRINK,1.0,0.73,0.74,0.74,False,False,False
46,3,V4_FULL_FIXED_SHRINK,0.75,0.66,0.64,0.66,True,False,False
3,4,V4_FULL_FIXED_SHRINK,1.0,0.83,0.84,0.84,False,False,False
8,4,V4_FULL_FIXED_SHRINK,1.0,0.73,0.77,0.77,False,False,False
11,4,V4_FULL_FIXED_SHRINK,1.0,0.6699999999999999,0.7,0.7,False,False,False
23,4,V4_FULL_FIXED_SHRINK,1.0,0.63,0.64,0.64,False,False,False
30,4,V4_FULL_FIXED_SHRINK,1.0,0.7,0.71,0.71,False,False,False
31,4,V4_FULL_FIXED_SHRINK,1.0,0.88,0.8600000000000001,0.8600000000000001,False,False,False
49,4,V4_FULL_FIXED_SHRINK,1.0,0.87,0.86,0.86,False,False,False
2,0,confidence guard,0.75,0.79,0.79,0.77,False,True,False
14,0,confidence guard,0.75,0.7,0.69,0.69,False,False,False
19,0,confidence guard,0.75,0.64,0.7,0.6799999999999999,False,False,False
32,0,confidence guard,0.75,0.63,0.65,0.66,False,False,False
33,0,confidence guard,0.75,0.8,0.79,0.8200000000000001,True,False,False
40,0,confidence guard,0.75,0.81,0.81,0.8200000000000001,False,False,False
47,0,confidence guard,0.75,0.8899999999999999,0.88,0.8899999999999999,True,False,False
50,0,confidence guard,0.75,0.5700000000000001,0.61,0.61,False,False,False
53,0,confidence guard,0.75,0.76,0.75,0.76,True,False,False
1,1,confidence guard,1.0,0.66,0.69,0.69,False,False,False
5,1,confidence guard,1.0,0.79,0.81,0.81,False,False,False
6,1,confidence guard,1.0,0.94,0.96,0.96,False,False,False
10,1,confidence guard,1.0,0.71,0.73,0.73,False,False,False
16,1,confidence guard,1.0,0.8300000000000001,0.85,0.85,False,False,False
35,1,confidence guard,1.0,0.79,0.8,0.8,False,False,False
43,1,confidence guard,1.0,0.8999999999999999,0.8999999999999999,0.8999999999999999,False,False,False
45,1,confidence guard,1.0,0.76,0.81,0.81,False,False,False
48,1,confidence guard,1.0,0.74,0.7,0.7,False,False,False
7,2,confidence guard,1.0,0.73,0.76,0.76,False,False,False
22,2,confidence guard,1.0,0.7,0.7,0.7,False,False,False
26,2,confidence guard,1.0,0.87,0.88,0.88,False,False,False
34,2,confidence guard,1.0,0.6699999999999999,0.6699999999999999,0.6699999999999999,False,False,False
44,2,confidence guard,1.0,0.75,0.76,0.76,False,False,False
52,2,confidence guard,1.0,0.79,0.76,0.76,False,False,False
9,3,confidence guard,1.0,0.6100000000000001,0.62,0.62,False,False,False
15,3,confidence guard,1.0,0.85,0.86,0.86,False,False,False
20,3,confidence guard,1.0,0.85,0.85,0.85,False,False,False
21,3,confidence guard,1.0,0.86,0.86,0.86,False,False,False
27,3,confidence guard,1.0,0.8999999999999999,0.9099999999999999,0.9099999999999999,False,False,False
28,3,confidence guard,1.0,0.85,0.87,0.87,False,False,False
38,3,confidence guard,1.0,0.72,0.73,0.73,False,False,False
41,3,confidence guard,1.0,0.73,0.74,0.74,False,False,False
46,3,confidence guard,1.0,0.66,0.64,0.64,False,False,False
3,4,confidence guard,1.0,0.83,0.84,0.84,False,False,False
8,4,confidence guard,1.0,0.73,0.77,0.77,False,False,False
11,4,confidence guard,1.0,0.6699999999999999,0.7,0.7,False,False,False
23,4,confidence guard,1.0,0.63,0.64,0.64,False,False,False
30,4,confidence guard,1.0,0.7,0.71,0.71,False,False,False
31,4,confidence guard,1.0,0.88,0.8600000000000001,0.8600000000000001,False,False,False
49,4,confidence guard,1.0,0.87,0.86,0.86,False,False,False
2,0,update-magnitude guard,0.75,0.79,0.79,0.77,False,True,False
14,0,update-magnitude guard,0.75,0.7,0.69,0.69,False,False,False
19,0,update-magnitude guard,0.75,0.64,0.7,0.6799999999999999,False,False,False
32,0,update-magnitude guard,0.75,0.63,0.65,0.66,False,False,False
33,0,update-magnitude guard,0.75,0.8,0.79,0.8200000000000001,True,False,False
40,0,update-magnitude guard,0.75,0.81,0.81,0.8200000000000001,False,False,False
47,0,update-magnitude guard,0.75,0.8899999999999999,0.88,0.8899999999999999,True,False,False
50,0,update-magnitude guard,1.0,0.5700000000000001,0.61,0.61,False,False,False
53,0,update-magnitude guard,0.75,0.76,0.75,0.76,True,False,False
1,1,update-magnitude guard,1.0,0.66,0.69,0.69,False,False,False
5,1,update-magnitude guard,1.0,0.79,0.81,0.81,False,False,False
6,1,update-magnitude guard,1.0,0.94,0.96,0.96,False,False,False
10,1,update-magnitude guard,1.0,0.71,0.73,0.73,False,False,False
16,1,update-magnitude guard,1.0,0.8300000000000001,0.85,0.85,False,False,False
35,1,update-magnitude guard,0.75,0.79,0.8,0.8,False,False,False
43,1,update-magnitude guard,1.0,0.8999999999999999,0.8999999999999999,0.8999999999999999,False,False,False
45,1,update-magnitude guard,1.0,0.76,0.81,0.81,False,False,False
48,1,update-magnitude guard,1.0,0.74,0.7,0.7,False,False,False
7,2,update-magnitude guard,1.0,0.73,0.76,0.76,False,False,False
22,2,update-magnitude guard,1.0,0.7,0.7,0.7,False,False,False
26,2,update-magnitude guard,1.0,0.87,0.88,0.88,False,False,False
34,2,update-magnitude guard,1.0,0.6699999999999999,0.6699999999999999,0.6699999999999999,False,False,False
44,2,update-magnitude guard,1.0,0.75,0.76,0.76,False,False,False
52,2,update-magnitude guard,1.0,0.79,0.76,0.76,False,False,False
9,3,update-magnitude guard,1.0,0.6100000000000001,0.62,0.62,False,False,False
15,3,update-magnitude guard,1.0,0.85,0.86,0.86,False,False,False
20,3,update-magnitude guard,1.0,0.85,0.85,0.85,False,False,False
21,3,update-magnitude guard,1.0,0.86,0.86,0.86,False,False,False
27,3,update-magnitude guard,1.0,0.8999999999999999,0.9099999999999999,0.9099999999999999,False,False,False
28,3,update-magnitude guard,1.0,0.85,0.87,0.87,False,False,False
38,3,update-magnitude guard,1.0,0.72,0.73,0.73,False,False,False
41,3,update-magnitude guard,1.0,0.73,0.74,0.74,False,False,False
46,3,update-magnitude guard,0.5,0.66,0.64,0.66,True,False,False
3,4,update-magnitude guard,1.0,0.83,0.84,0.84,False,False,False
8,4,update-magnitude guard,1.0,0.73,0.77,0.77,False,False,False
11,4,update-magnitude guard,1.0,0.6699999999999999,0.7,0.7,False,False,False
23,4,update-magnitude guard,1.0,0.63,0.64,0.64,False,False,False
30,4,update-magnitude guard,1.0,0.7,0.71,0.71,False,False,False
31,4,update-magnitude guard,1.0,0.88,0.8600000000000001,0.8600000000000001,False,False,False
49,4,update-magnitude guard,1.0,0.87,0.86,0.86,False,False,False
2,0,identity guard,0.0,0.79,0.79,0.79,False,False,False
14,0,identity guard,1.0,0.7,0.69,0.69,False,False,False
19,0,identity guard,1.0,0.64,0.7,0.7,False,False,False
32,0,identity guard,0.0,0.63,0.65,0.63,False,False,False
33,0,identity guard,1.0,0.8,0.79,0.79,False,False,False
40,0,identity guard,1.0,0.81,0.81,0.81,False,False,False
47,0,identity guard,0.0,0.8899999999999999,0.88,0.8899999999999999,True,False,False
50,0,identity guard,1.0,0.5700000000000001,0.61,0.61,False,False,False
53,0,identity guard,1.0,0.76,0.75,0.75,False,False,False
1,1,identity guard,1.0,0.66,0.69,0.69,False,False,False
5,1,identity guard,1.0,0.79,0.81,0.81,False,False,False
6,1,identity guard,1.0,0.94,0.96,0.96,False,False,False
10,1,identity guard,1.0,0.71,0.73,0.73,False,False,False
16,1,identity guard,1.0,0.8300000000000001,0.85,0.85,False,False,False
35,1,identity guard,1.0,0.79,0.8,0.8,False,False,False
43,1,identity guard,0.0,0.8999999999999999,0.8999999999999999,0.8999999999999999,False,False,False
45,1,identity guard,1.0,0.76,0.81,0.81,False,False,False
48,1,identity guard,1.0,0.74,0.7,0.7,False,False,False
7,2,identity guard,0.5,0.73,0.76,0.74,False,False,False
22,2,identity guard,0.5,0.7,0.7,0.69,False,True,False
26,2,identity guard,0.5,0.87,0.88,0.88,False,False,False
34,2,identity guard,0.5,0.6699999999999999,0.6699999999999999,0.6799999999999999,False,False,False
44,2,identity guard,0.5,0.75,0.76,0.76,False,False,False
52,2,identity guard,0.5,0.79,0.76,0.76,False,False,False
9,3,identity guard,0.75,0.6100000000000001,0.62,0.63,False,False,False
15,3,identity guard,0.75,0.85,0.86,0.86,False,False,False
20,3,identity guard,0.75,0.85,0.85,0.85,False,False,False
21,3,identity guard,0.75,0.86,0.86,0.86,False,False,False
27,3,identity guard,0.75,0.8999999999999999,0.9099999999999999,0.9099999999999999,False,False,False
28,3,identity guard,0.75,0.85,0.87,0.86,False,False,False
38,3,identity guard,0.75,0.72,0.73,0.74,False,False,False
41,3,identity guard,0.75,0.73,0.74,0.74,False,False,False
46,3,identity guard,1.0,0.66,0.64,0.64,False,False,False
3,4,identity guard,1.0,0.83,0.84,0.84,False,False,False
8,4,identity guard,1.0,0.73,0.77,0.77,False,False,False
11,4,identity guard,1.0,0.6699999999999999,0.7,0.7,False,False,False
23,4,identity guard,1.0,0.63,0.64,0.64,False,False,False
30,4,identity guard,1.0,0.7,0.71,0.71,False,False,False
31,4,identity guard,1.0,0.88,0.8600000000000001,0.8600000000000001,False,False,False
49,4,identity guard,1.0,0.87,0.86,0.86,False,False,False
2,0,P-only guard,0.75,0.79,0.79,0.77,False,True,False
14,0,P-only guard,0.75,0.7,0.69,0.69,False,False,False
19,0,P-only guard,1.0,0.64,0.7,0.7,False,False,False
32,0,P-only guard,0.75,0.63,0.65,0.66,False,False,False
33,0,P-only guard,1.0,0.8,0.79,0.79,False,False,False
40,0,P-only guard,0.75,0.81,0.81,0.8200000000000001,False,False,False
47,0,P-only guard,0.75,0.8899999999999999,0.88,0.8899999999999999,True,False,False
50,0,P-only guard,0.75,0.5700000000000001,0.61,0.61,False,False,False
53,0,P-only guard,0.75,0.76,0.75,0.76,True,False,False
1,1,P-only guard,1.0,0.66,0.69,0.69,False,False,False
5,1,P-only guard,1.0,0.79,0.81,0.81,False,False,False
6,1,P-only guard,1.0,0.94,0.96,0.96,False,False,False
10,1,P-only guard,1.0,0.71,0.73,0.73,False,False,False
16,1,P-only guard,0.75,0.8300000000000001,0.85,0.8300000000000001,False,False,False
35,1,P-only guard,1.0,0.79,0.8,0.8,False,False,False
43,1,P-only guard,1.0,0.8999999999999999,0.8999999999999999,0.8999999999999999,False,False,False
45,1,P-only guard,1.0,0.76,0.81,0.81,False,False,False
48,1,P-only guard,1.0,0.74,0.7,0.7,False,False,False
7,2,P-only guard,1.0,0.73,0.76,0.76,False,False,False
22,2,P-only guard,1.0,0.7,0.7,0.7,False,False,False
26,2,P-only guard,1.0,0.87,0.88,0.88,False,False,False
34,2,P-only guard,1.0,0.6699999999999999,0.6699999999999999,0.6699999999999999,False,False,False
44,2,P-only guard,1.0,0.75,0.76,0.76,False,False,False
52,2,P-only guard,0.0,0.79,0.76,0.79,True,False,False
9,3,P-only guard,1.0,0.6100000000000001,0.62,0.62,False,False,False
15,3,P-only guard,1.0,0.85,0.86,0.86,False,False,False
20,3,P-only guard,1.0,0.85,0.85,0.85,False,False,False
21,3,P-only guard,1.0,0.86,0.86,0.86,False,False,False
27,3,P-only guard,1.0,0.8999999999999999,0.9099999999999999,0.9099999999999999,False,False,False
28,3,P-only guard,1.0,0.85,0.87,0.87,False,False,False
38,3,P-only guard,1.0,0.72,0.73,0.73,False,False,False
41,3,P-only guard,1.0,0.73,0.74,0.74,False,False,False
46,3,P-only guard,1.0,0.66,0.64,0.64,False,False,False
3,4,P-only guard,1.0,0.83,0.84,0.84,False,False,False
8,4,P-only guard,1.0,0.73,0.77,0.77,False,False,False
11,4,P-only guard,1.0,0.6699999999999999,0.7,0.7,False,False,False
23,4,P-only guard,1.0,0.63,0.64,0.64,False,False,False
30,4,P-only guard,1.0,0.7,0.71,0.71,False,False,False
31,4,P-only guard,1.0,0.88,0.8600000000000001,0.8600000000000001,False,False,False
49,4,P-only guard,1.0,0.87,0.86,0.86,False,False,False
2,0,generic-diagnostic guard,1.0,0.79,0.79,0.79,False,False,False
14,0,generic-diagnostic guard,1.0,0.7,0.69,0.69,False,False,False
19,0,generic-diagnostic guard,1.0,0.64,0.7,0.7,False,False,False
32,0,generic-diagnostic guard,1.0,0.63,0.65,0.65,False,False,False
33,0,generic-diagnostic guard,1.0,0.8,0.79,0.79,False,False,False
40,0,generic-diagnostic guard,1.0,0.81,0.81,0.81,False,False,False
47,0,generic-diagnostic guard,1.0,0.8899999999999999,0.88,0.88,False,False,False
50,0,generic-diagnostic guard,1.0,0.5700000000000001,0.61,0.61,False,False,False
53,0,generic-diagnostic guard,1.0,0.76,0.75,0.75,False,False,False
1,1,generic-diagnostic guard,1.0,0.66,0.69,0.69,False,False,False
5,1,generic-diagnostic guard,1.0,0.79,0.81,0.81,False,False,False
6,1,generic-diagnostic guard,1.0,0.94,0.96,0.96,False,False,False
10,1,generic-diagnostic guard,1.0,0.71,0.73,0.73,False,False,False
16,1,generic-diagnostic guard,1.0,0.8300000000000001,0.85,0.85,False,False,False
35,1,generic-diagnostic guard,0.75,0.79,0.8,0.8,False,False,False
43,1,generic-diagnostic guard,0.75,0.8999999999999999,0.8999999999999999,0.8999999999999999,False,False,False
45,1,generic-diagnostic guard,1.0,0.76,0.81,0.81,False,False,False
48,1,generic-diagnostic guard,1.0,0.74,0.7,0.7,False,False,False
7,2,generic-diagnostic guard,1.0,0.73,0.76,0.76,False,False,False
22,2,generic-diagnostic guard,1.0,0.7,0.7,0.7,False,False,False
26,2,generic-diagnostic guard,1.0,0.87,0.88,0.88,False,False,False
