dataset,recipe,rank,lambda_R,lambda_P,fold,seed,validation_BA,validation_subjects,future_session_used
OpenBMI,re_r1_lr0.001_lp0.5,1,0.001,0.5,0,0,0.7625,8,False
OpenBMI,re_r1_lr0.001_lp0.5,1,0.001,0.5,1,0,0.775625,8,False
OpenBMI,re_r1_lr0.001_lp0.5,1,0.001,0.5,2,0,0.721875,8,False
OpenBMI,re_r1_lr0.001_lp0.5,1,0.001,0.5,3,0,0.705625,8,False
OpenBMI,re_r1_lr0.001_lp0.5,1,0.001,0.5,4,0,0.75875,8,False
OpenBMI,re_r1_lr0.001_lp1,1,0.001,1.0,0,0,0.7625,8,False
OpenBMI,re_r1_lr0.001_lp1,1,0.001,1.0,1,0,0.775625,8,False
OpenBMI,re_r1_lr0.001_lp1,1,0.001,1.0,2,0,0.721875,8,False
OpenBMI,re_r1_lr0.001_lp1,1,0.001,1.0,3,0,0.705625,8,False
OpenBMI,re_r1_lr0.001_lp1,1,0.001,1.0,4,0,0.75875,8,False
OpenBMI,re_r1_lr0.01_lp0.5,1,0.01,0.5,0,0,0.7625,8,False
OpenBMI,re_r1_lr0.01_lp0.5,1,0.01,0.5,1,0,0.775625,8,False
OpenBMI,re_r1_lr0.01_lp0.5,1,0.01,0.5,2,0,0.721875,8,False
OpenBMI,re_r1_lr0.01_lp0.5,1,0.01,0.5,3,0,0.705625,8,False
OpenBMI,re_r1_lr0.01_lp0.5,1,0.01,0.5,4,0,0.75875,8,False
OpenBMI,re_r1_lr0.01_lp1,1,0.01,1.0,0,0,0.7625,8,False
OpenBMI,re_r1_lr0.01_lp1,1,0.01,1.0,1,0,0.775625,8,False
OpenBMI,re_r1_lr0.01_lp1,1,0.01,1.0,2,0,0.721875,8,False
OpenBMI,re_r1_lr0.01_lp1,1,0.01,1.0,3,0,0.705,8,False
OpenBMI,re_r1_lr0.01_lp1,1,0.01,1.0,4,0,0.75875,8,False
OpenBMI,re_r2_lr0.001_lp0.5,2,0.001,0.5,0,0,0.7625,8,False
OpenBMI,re_r2_lr0.001_lp0.5,2,0.001,0.5,1,0,0.775625,8,False
OpenBMI,re_r2_lr0.001_lp0.5,2,0.001,0.5,2,0,0.721875,8,False
OpenBMI,re_r2_lr0.001_lp0.5,2,0.001,0.5,3,0,0.705625,8,False
OpenBMI,re_r2_lr0.001_lp0.5,2,0.001,0.5,4,0,0.75875,8,False
OpenBMI,re_r2_lr0.001_lp1,2,0.001,1.0,0,0,0.7625,8,False
OpenBMI,re_r2_lr0.001_lp1,2,0.001,1.0,1,0,0.775625,8,False
OpenBMI,re_r2_lr0.001_lp1,2,0.001,1.0,2,0,0.721875,8,False
OpenBMI,re_r2_lr0.001_lp1,2,0.001,1.0,3,0,0.705,8,False
OpenBMI,re_r2_lr0.001_lp1,2,0.001,1.0,4,0,0.75875,8,False
OpenBMI,re_r2_lr0.01_lp0.5,2,0.01,0.5,0,0,0.7625,8,False
OpenBMI,re_r2_lr0.01_lp0.5,2,0.01,0.5,1,0,0.775625,8,False
OpenBMI,re_r2_lr0.01_lp0.5,2,0.01,0.5,2,0,0.721875,8,False
OpenBMI,re_r2_lr0.01_lp0.5,2,0.01,0.5,3,0,0.705625,8,False
OpenBMI,re_r2_lr0.01_lp0.5,2,0.01,0.5,4,0,0.75875,8,False
OpenBMI,re_r2_lr0.01_lp1,2,0.01,1.0,0,0,0.7625,8,False
OpenBMI,re_r2_lr0.01_lp1,2,0.01,1.0,1,0,0.775625,8,False
OpenBMI,re_r2_lr0.01_lp1,2,0.01,1.0,2,0,0.721875,8,False
OpenBMI,re_r2_lr0.01_lp1,2,0.01,1.0,3,0,0.705625,8,False
OpenBMI,re_r2_lr0.01_lp1,2,0.01,1.0,4,0,0.75875,8,False
OpenBMI,re_r4_lr0.001_lp0.5,4,0.001,0.5,0,0,0.7625,8,False
OpenBMI,re_r4_lr0.001_lp0.5,4,0.001,0.5,1,0,0.775625,8,False
