model,fold,seed,checkpoint_sha256,selected_epoch,normalizer_sha256,subject,session,session_id,BA,Macro_F1,accuracy,trials
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-091,S2,2,0.9152148664343787,0.9154663174741743,0.9156626506024096,83
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-026,S2,2,0.9705882352941176,0.9705627705627706,0.9705882352941176,34
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-017,S2,2,0.9492753623188406,0.9491445117136088,0.9492753623188406,138
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-036,S2,2,0.9414155906264945,0.9445449065702229,0.9456521739130435,92
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-012,S2,2,0.962570281124498,0.9619704749679076,0.9620253164556962,158
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-011,S2,2,0.8858460380199511,0.883556181093127,0.8835616438356164,146
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-087,S2,2,0.9210727969348659,0.9159090909090909,0.918918918918919,74
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-009,S2,2,0.8641833077316948,0.8639651750848217,0.864,125
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-059,S2,2,0.9391025641025641,0.9382621951219512,0.9382716049382716,162
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-010,S2,2,0.8418167050223366,0.8423785765197027,0.8430232558139535,172
EEGNet,0,0,f8b4c783e2058c4e20ff5cb26771eabe77ad5a2a22d1e9c95fa5017e26f4f2e8,14,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-028,S2,2,0.9739864864864864,0.9739864864864864,0.974025974025974,77
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-069,S1,1,0.83125,0.8310850439882698,0.83125,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-084,S1,1,0.98125,0.9812492675495137,0.98125,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-006,S1,1,0.96875,0.9687487792491895,0.96875,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-014,S1,1,0.88125,0.8808730749637526,0.88125,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-054,S1,1,0.9312499999999999,0.9312258215778985,0.93125,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-020,S1,1,0.89375,0.892807881773399,0.89375,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-021,S1,1,0.775,0.7668016194331984,0.775,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-094,S1,1,0.99375,0.9937497558498378,0.99375,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-091,S1,1,0.69375,0.6883818911721451,0.69375,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-026,S1,1,0.875,0.8749218261413383,0.875,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-017,S1,1,0.95,0.949874686716792,0.95,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-036,S1,1,0.98125,0.9812434058848813,0.98125,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-012,S1,1,0.84375,0.8434503541935736,0.84375,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-011,S1,1,0.93125,0.9312473143482167,0.93125,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-087,S1,1,0.9624999999999999,0.9624941397093296,0.9625,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-009,S1,1,0.75,0.7490196078431373,0.75,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-059,S1,1,0.95,0.95,0.95,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-010,S1,1,0.8812500000000001,0.8810222691871159,0.88125,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-028,S1,1,0.9125000000000001,0.9122807017543859,0.9125,160
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-069,S2,2,0.9512195121951219,0.9457875457875458,0.9459459459459459,74
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-084,S2,2,0.9206777050442818,0.9212962962962963,0.9215686274509803,102
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-006,S2,2,0.9011196300352926,0.8955760229503247,0.8956043956043956,182
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-014,S2,2,0.85,0.85,0.85,80
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-054,S2,2,0.9782608695652174,0.9766937669376694,0.9767441860465116,43
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-020,S2,2,0.9310344827586207,0.9310344827586207,0.9310344827586207,116
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-021,S2,2,0.7354838709677419,0.7379679144385026,0.75,56
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-094,S2,2,0.8975916453537938,0.8976739223218096,0.8978102189781022,137
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-091,S2,2,0.9030197444831591,0.9032634032634033,0.9036144578313253,83
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-026,S2,2,1.0,1.0,1.0,34
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-017,S2,2,0.9420289855072463,0.9419191919191919,0.9420289855072463,138
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-036,S2,2,0.9512195121951219,0.9554910498306725,0.9565217391304348,92
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-012,S2,2,0.9619277108433735,0.9619277108433735,0.9620253164556962,158
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-011,S2,2,0.9148315452663278,0.9109212934716291,0.910958904109589,146
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-087,S2,2,0.9321839080459771,0.9295372310036183,0.9324324324324325,74
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-009,S2,2,0.9043778801843319,0.9038461538461539,0.904,125
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-059,S2,2,0.9574175824175823,0.9567753001715266,0.9567901234567902,162
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-010,S2,2,0.869906592662786,0.8709765411893071,0.872093023255814,172
SIRE-EEG,0,0,e50621c5ba773e2233340f93080c1c91336672eda5b922ed0148edcca13bf522,31,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-028,S2,2,0.9344594594594595,0.93488922712667,0.935064935064935,77
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-072,S1,1,0.91875,0.9187468260478925,0.91875,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-076,S1,1,0.925,0.924894382725708,0.925,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-045,S1,1,0.825,0.8209718670076727,0.825,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-041,S1,1,0.73125,0.7288669950738916,0.73125,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-062,S1,1,0.925,0.924812030075188,0.925,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-005,S1,1,0.91875,0.9186705767350929,0.91875,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-055,S1,1,0.9,0.8984674329501916,0.89937106918239,159
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-038,S1,1,0.9875,0.9874980465697765,0.9875,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-083,S1,1,1.0,1.0,1.0,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-024,S1,1,0.98125,0.9812492675495137,0.98125,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-044,S1,1,0.89375,0.8937458494472441,0.89375,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-068,S1,1,0.9625,0.9624471913628541,0.9625,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-077,S1,1,0.71875,0.716256157635468,0.71875,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-057,S1,1,0.95,0.95,0.95,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-073,S1,1,0.99375,0.9937497558498378,0.99375,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-088,S1,1,0.8125,0.8114393463230672,0.8125,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-016,S1,1,0.8518518518518519,0.8507371007371007,0.8518518518518519,162
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-031,S1,1,0.9875,0.9875,0.9875,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-003,S1,1,0.9312499999999999,0.9312258215778985,0.93125,160
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-072,S2,2,0.914860681114551,0.9091836734693878,0.9101123595505618,89
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-076,S2,2,0.9673597678916828,0.9670170351576659,0.967032967032967,91
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-045,S2,2,0.890818858560794,0.893125,0.8947368421052632,57
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-041,S2,2,0.96875,0.9544592030360531,0.9583333333333334,48
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-062,S2,2,0.8813700918964076,0.8825174825174825,0.8833333333333333,120
EEGNet,1,0,00e8d743c5edcb5329f81b8a0c4e05e83b32229e937aa8a2cec67baa522b133d,25,bf879ac3499ff1ca787906b6652cd29eb4671aec0cd16e6a94c8f8b2133598fe,sub-005,S2,2,0.9173076923076924,0.9191252587991718,0.92,125
