dataset,role,fold,seed,subject,recipe,alpha,mean_CE,SE_CE,mean_BA,selected_one_se,selected_eb,historical_utility,historical_utility_se,positive_held_blocks,future_labels_used_for_selection,population_checkpoint_id,certificate,rank,l2
OpenBMI,outcome,0,0,49,upda_r1_l20.001_one_se,0.25,0.520870937281368,0.22597339685117862,0.7699999999999999,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,49,upda_r1_l20.001_one_se,0.5,0.5040326297541298,0.2109005428116613,0.7699999999999999,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,49,upda_r1_l20.001_one_se,0.75,0.4887287510004957,0.19626253037699373,0.7699999999999999,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,49,upda_r1_l20.001_one_se,1.0,0.4751179188970003,0.1820854093589332,0.77,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,15,upda_r1_l20.001_one_se,0.0,0.2642361096830352,0.15572398428772297,0.89,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,15,upda_r1_l20.001_one_se,0.25,0.19994429443846706,0.11662215033738008,0.9,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,15,upda_r1_l20.001_one_se,0.5,0.16562686094442886,0.09026709028888971,0.91,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,15,upda_r1_l20.001_one_se,0.75,0.14118053725338228,0.06939786074835784,0.92,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,15,upda_r1_l20.001_one_se,1.0,0.12336694968474157,0.052212503075471296,0.94,0.5,0.5,0.14086915999829358,0.10616489490442514,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,19,upda_r1_l20.001_one_se,0.0,0.6276569751858239,0.26808633118984276,0.72,0.0,0.0,0.08559433305546672,0.19977633545918497,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,19,upda_r1_l20.001_one_se,0.25,0.5900167075500554,0.2245387711100324,0.7100000000000001,0.0,0.0,0.08559433305546672,0.19977633545918497,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,19,upda_r1_l20.001_one_se,0.5,0.5622159387702694,0.18251179976329135,0.7200000000000001,0.0,0.0,0.08559433305546672,0.19977633545918497,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,19,upda_r1_l20.001_one_se,0.75,0.5457553945558635,0.14352127570622625,0.71,0.0,0.0,0.08559433305546672,0.19977633545918497,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,19,upda_r1_l20.001_one_se,1.0,0.542062642130357,0.11170789288839092,0.72,0.0,0.0,0.08559433305546672,0.19977633545918497,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,32,upda_r1_l20.001_one_se,0.0,0.29611450772862585,0.1471960818099348,0.86,0.0,0.0,-0.12244966446993923,0.0664005315775702,0,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,32,upda_r1_l20.001_one_se,0.25,0.3093966794970409,0.1428735717210054,0.86,0.0,0.0,-0.12244966446993923,0.0664005315775702,0,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,32,upda_r1_l20.001_one_se,0.5,0.3318856528100346,0.1393578186416992,0.84,0.0,0.0,-0.12244966446993923,0.0664005315775702,0,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,32,upda_r1_l20.001_one_se,0.75,0.366956451637274,0.13788490281380572,0.8200000000000001,0.0,0.0,-0.12244966446993923,0.0664005315775702,0,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,32,upda_r1_l20.001_one_se,1.0,0.4185641721985651,0.1411086630092344,0.78,0.0,0.0,-0.12244966446993923,0.0664005315775702,0,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,33,upda_r1_l20.001_one_se,0.0,0.19093037655791462,0.10033089758439956,0.93,0.0,0.0,0.034328199954197135,0.049595223591906865,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,33,upda_r1_l20.001_one_se,0.25,0.17886427149962633,0.08858621261950739,0.94,0.0,0.0,0.034328199954197135,0.049595223591906865,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,33,upda_r1_l20.001_one_se,0.5,0.16894041387041092,0.076970280523301,0.95,0.0,0.0,0.034328199954197135,0.049595223591906865,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,33,upda_r1_l20.001_one_se,0.75,0.16141702600941404,0.06543086471532403,0.96,0.0,0.0,0.034328199954197135,0.049595223591906865,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,33,upda_r1_l20.001_one_se,1.0,0.15660217660371747,0.05399911383962297,0.96,0.0,0.0,0.034328199954197135,0.049595223591906865,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,41,upda_r1_l20.001_one_se,0.0,0.6673595284914816,0.025066351860612568,0.7200000000000001,0.25,0.25,0.05279634473358222,0.03143464787197026,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,41,upda_r1_l20.001_one_se,0.25,0.6448626006127371,0.02752234996075775,0.7000000000000001,0.25,0.25,0.05279634473358222,0.03143464787197026,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,41,upda_r1_l20.001_one_se,0.5,0.6278791870113902,0.03170690891321931,0.67,0.25,0.25,0.05279634473358222,0.03143464787197026,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,41,upda_r1_l20.001_one_se,0.75,0.6174137527786272,0.037339015920565294,0.67,0.25,0.25,0.05279634473358222,0.03143464787197026,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,41,upda_r1_l20.001_one_se,1.0,0.6145631837578994,0.04414798305009951,0.65,0.25,0.25,0.05279634473358222,0.03143464787197026,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,46,upda_r1_l20.001_one_se,0.0,0.6698529810832756,0.11428299673368791,0.68,0.0,0.0,0.05907459840019512,0.05410594367219745,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,46,upda_r1_l20.001_one_se,0.25,0.6358511825526596,0.11367981368064888,0.66,0.0,0.0,0.05907459840019512,0.05410594367219745,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,46,upda_r1_l20.001_one_se,0.5,0.6122700228702951,0.11222690305367523,0.64,0.0,0.0,0.05907459840019512,0.05410594367219745,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,46,upda_r1_l20.001_one_se,0.75,0.6025239344935214,0.10906286980860763,0.63,0.0,0.0,0.05907459840019512,0.05410594367219745,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,46,upda_r1_l20.001_one_se,1.0,0.6107783826830805,0.10360864811872242,0.6000000000000001,0.0,0.0,0.05907459840019512,0.05410594367219745,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,47,upda_r1_l20.001_one_se,0.0,0.2005957001211739,0.07625729487882496,0.9299999999999999,0.0,0.0,-0.00374236837519837,0.0639342958943141,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,47,upda_r1_l20.001_one_se,0.25,0.17592664687885426,0.08624324073991042,0.9299999999999999,0.0,0.0,-0.00374236837519837,0.0639342958943141,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,47,upda_r1_l20.001_one_se,0.5,0.17432994929032117,0.101668603567093,0.9299999999999999,0.0,0.0,-0.00374236837519837,0.0639342958943141,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,47,upda_r1_l20.001_one_se,0.75,0.18561688267821377,0.12004139882687222,0.9299999999999999,0.0,0.0,-0.00374236837519837,0.0639342958943141,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,47,upda_r1_l20.001_one_se,1.0,0.2043380684963722,0.14011125416161008,0.9299999999999999,0.0,0.0,-0.00374236837519837,0.0639342958943141,3,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,49,upda_r1_l20.001_one_se,0.0,0.5390972214093487,0.2414566561288358,0.7699999999999999,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,1,49,upda_r1_l20.001_one_se,0.25,0.520870937281368,0.22597339685117862,0.7699999999999999,0.0,0.0,0.06397930251234837,0.07328992878796461,2,False,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
