fold,epoch,rank,persistence,signed_utility,utility_median,utility_positive_fraction,utility_p_raw,decision_dependence,decision_median,decision_positive_fraction,decision_p_raw,energy_relative_mismatch_mean,n_subject_measurements,utility_p_holm,decision_p_holm,gate
0,0,1,0.16999893796770416,-0.0018509607762098312,-0.0009885132312774658,0.25,0.99999,-0.007463268789628538,-0.005306765909891922,0.0,1.0,0.012463147748971,32,1.0,1.0,False
0,0,2,0.1975494191816988,-0.009236475452780724,-0.006842702627182007,0.15625,1.0,-0.019767563511433547,-0.02034849466573445,0.0,1.0,0.001851287941661006,32,1.0,1.0,False
0,0,4,0.23705842214746708,-0.005593376234173775,-0.004726201295852661,0.15625,1.0,-0.012547591047315784,-0.012082576225109267,0.0,1.0,0.00027786026495456637,32,1.0,1.0,False
1,0,1,0.1377538453469516,-0.004102655432441018,-0.001028299331665039,0.42424242424242425,0.99967,-0.00934178436320675,-0.009796880180373089,0.45454545454545453,0.99995,0.0033777255779837475,33,1.0,1.0,False
1,0,2,0.18462884850406303,-0.0032444153771255956,-0.0013507604598999023,0.2727272727272727,0.99974,-0.006071048224993577,-0.006337183418181307,0.24242424242424243,1.0,0.0030985485820727056,33,1.0,1.0,False
1,0,4,0.23494825484593873,-0.003083996700518059,-0.0022316575050354004,0.18181818181818182,1.0,-0.004883403704857883,-0.004577583244846719,0.030303030303030304,1.0,0.002624237259153876,33,1.0,1.0,False
2,0,1,0.2183204062948652,5.834256157730565e-05,-0.00014162063598632812,0.45454545454545453,0.38908,-0.00904641652738873,-0.007141857301883448,0.12121212121212122,1.0,0.0033007914391801523,33,0.89901,1.0,False
2,0,2,0.3228910449830617,0.0002070766958323392,-0.00013297796249389648,0.48484848484848486,0.37718,-0.013874583964884748,-0.007081077535729293,0.24242424242424243,0.9998,0.0039959487100252366,33,0.89901,1.0,False
2,0,4,0.4277318957378983,0.000468786692980564,-0.00025218725204467773,0.48484848484848486,0.29967,-0.039549482123215886,-0.030606559119934096,0.0,1.0,0.07249796931005402,33,0.89901,1.0,False
3,0,1,0.17114832684867243,0.0014328794045881791,0.0003736913204193115,0.5151515151515151,0.2605,-0.07071183340330012,-0.07698541762620663,0.0,1.0,0.006090971126714719,33,0.521,1.0,False
3,0,2,0.2960313912111597,0.002781606081760291,0.001487433910369873,0.5151515151515151,0.12319,-0.0908320499909483,-0.1034834112009345,0.0,1.0,0.0013440164097388782,33,0.36956999999999995,1.0,False
3,0,4,0.3975194866962875,-0.003658944007122155,-0.0018299520015716553,0.3333333333333333,0.9515,-0.08313912639204438,-0.06761210186827539,0.0,1.0,0.003955004806889167,33,0.9515,1.0,False
4,0,1,0.19989834613574917,-0.0008614699948917736,-0.0001431107521057129,0.42424242424242425,0.95137,-0.01858895264904998,-0.008729959492742405,0.0,1.0,0.004283116781512997,33,1.0,1.0,False
4,0,2,0.30865633320358427,-0.0026239371209433584,-0.0012149810791015625,0.21212121212121213,0.99876,-0.029790269850267264,-0.021104903830382493,0.0,1.0,0.0010347710812400567,33,1.0,1.0,False
4,0,4,0.4245095546602901,-0.0029623497164610662,-0.0030089467763900757,0.18181818181818182,0.99978,-0.029367759316116966,-0.023917638397546286,0.030303030303030304,1.0,0.003824684144627432,33,1.0,1.0,False
