split,subject,session,cluster,cluster_definition,future_BA
TRAIN,1,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,1,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,2,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,2,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,7,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,7,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,10,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,10,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,16,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,16,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,20,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,20,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,21,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,21,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,22,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,22,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,23,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,23,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,27,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,27,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,28,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,28,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,30,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,30,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,31,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,31,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,34,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
TRAIN,34,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
