observation_id,task,dataset,fold,seed,space,round,subject_A,subject_B,optimizer,learning_rate,weight_decay,global_grad_clip,gradient_mode,delta_norm,g_A_norm,g_A_delta_dot,g_A_delta_cosine,preclip_global_grad_norm,loss_A,checkpoint_sha256,normalizer_sha256
OpenBMI_MI:f0:C:r1:B=7:A=16,OpenBMI_MI,OpenBMI,0,0,C,1,16,7,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000000724568963,0.018771551549434662,-5.631462499877671e-06,-0.9999990463256836,0.018771551549434662,0.42508208751678467,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=10:A=20,OpenBMI_MI,OpenBMI,0,0,C,1,20,10,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.00030000018887221813,0.04561848193407059,-1.3685541489394382e-05,-0.9999990463256836,0.04561848193407059,0.599004864692688,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=16:A=21,OpenBMI_MI,OpenBMI,0,0,C,1,21,16,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0002999998687300831,0.007728276774287224,-2.318480028407066e-06,-0.9999987483024597,0.007728276774287224,0.1286448836326599,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=20:A=22,OpenBMI_MI,OpenBMI,0,0,C,1,22,20,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000001306645572,0.03264661878347397,-9.793981007533148e-06,-0.9999989867210388,0.03264661878347397,0.4995426535606384,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=21:A=23,OpenBMI_MI,OpenBMI,0,0,C,1,23,21,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.00029999931575730443,0.0033483244478702545,-1.004494151857216e-06,-0.9999980926513672,0.0033483244478702545,0.2942391633987427,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=22:A=27,OpenBMI_MI,OpenBMI,0,0,C,1,27,22,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000001597683877,0.025352565571665764,-7.605767223139992e-06,-0.9999990463256836,0.025352565571665764,0.1494126319885254,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=23:A=28,OpenBMI_MI,OpenBMI,0,0,C,1,28,23,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.000299999926937744,0.011492151767015457,-3.447642029641429e-06,-0.999998927116394,0.011492151767015457,0.06413612514734268,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=27:A=30,OpenBMI_MI,OpenBMI,0,0,C,1,30,27,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.00030000018887221813,0.08530885726213455,-2.5592653400963172e-05,-0.9999991655349731,0.08530885726213455,0.3990698456764221,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=28:A=31,OpenBMI_MI,OpenBMI,0,0,C,1,31,28,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000000724568963,0.019946947693824768,-5.98408132646e-06,-0.9999991059303284,0.019946947693824768,0.08527784049510956,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=30:A=34,OpenBMI_MI,OpenBMI,0,0,C,1,34,30,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000000142492354,0.01434294879436493,-4.302881279727444e-06,-0.999998927116394,0.01434294879436493,0.6960628032684326,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=31:A=35,OpenBMI_MI,OpenBMI,0,0,C,1,35,31,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.00029999384423717856,0.00047160591930150986,-1.4147876470360643e-07,-0.9999921917915344,0.00047160591930150986,0.015410047024488449,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=34:A=40,OpenBMI_MI,OpenBMI,0,0,C,1,40,34,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0002999997523147613,0.00584159791469574,-1.7524763507026364e-06,-0.9999985098838806,0.00584159791469574,0.3824455142021179,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=35:A=41,OpenBMI_MI,OpenBMI,0,0,C,1,41,35,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.00029999998514540493,0.0113199632614851,-3.395985913812183e-06,-0.9999988675117493,0.0113199632614851,0.44141072034835815,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=40:A=43,OpenBMI_MI,OpenBMI,0,0,C,1,43,40,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000000724568963,0.02020750194787979,-6.0622473938565236e-06,-0.9999991059303284,0.02020750194787979,0.33245763182640076,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=41:A=44,OpenBMI_MI,OpenBMI,0,0,C,1,44,41,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.000299999926937744,0.010396264493465424,-3.118875838481472e-06,-0.9999988079071045,0.010396264493465424,0.27634793519973755,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=43:A=45,OpenBMI_MI,OpenBMI,0,0,C,1,45,43,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000000724568963,0.016908206045627594,-5.072458407084923e-06,-0.999998927116394,0.016908206045627594,0.442710816860199,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=44:A=46,OpenBMI_MI,OpenBMI,0,0,C,1,46,44,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000001306645572,0.028004705905914307,-8.401408194913529e-06,-0.9999990463256836,0.028004705905914307,0.5659642815589905,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=45:A=48,OpenBMI_MI,OpenBMI,0,0,C,1,48,45,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000000724568963,0.016384486109018326,-4.915342742606299e-06,-0.9999989867210388,0.016384486109018326,0.2789170742034912,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=46:A=49,OpenBMI_MI,OpenBMI,0,0,C,1,49,46,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000000724568963,0.022098394110798836,-6.629514700762229e-06,-0.9999991059303284,0.022098394110798836,0.11695888638496399,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=48:A=50,OpenBMI_MI,OpenBMI,0,0,C,1,50,48,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000001597683877,0.040188152343034744,-1.2056441846652888e-05,-0.9999991059303284,0.040188152343034744,0.7775076031684875,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=49:A=52,OpenBMI_MI,OpenBMI,0,0,C,1,52,49,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.00029999137041158974,0.00033893436193466187,-1.0167729413979032e-07,-0.9999892115592957,0.00033893436193466187,0.13932150602340698,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=50:A=53,OpenBMI_MI,OpenBMI,0,0,C,1,53,50,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0003000000142492354,0.013585755601525307,-4.075723154528532e-06,-0.9999988675117493,0.013585755601525307,0.19741420447826385,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=52:A=1,OpenBMI_MI,OpenBMI,0,0,C,1,1,52,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.00029999969410710037,0.005281656980514526,-1.5844942709009047e-06,-0.9999985694885254,0.005281656980514526,0.3548806309700012,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r1:B=53:A=2,OpenBMI_MI,OpenBMI,0,0,C,1,2,53,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.00030000004335306585,0.015407215803861618,-4.622161213774234e-06,-0.999998927116394,0.015407215803861618,0.2895403504371643,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:M:r0:B=1:A=2,OpenBMI_MI,OpenBMI,0,0,M,0,2,1,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0005196299171075225,0.060313135385513306,-2.6875437470152974e-05,-0.8575302958488464,0.060313135385513306,0.2895403504371643,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:M:r0:B=2:A=7,OpenBMI_MI,OpenBMI,0,0,M,0,7,2,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0005196292186155915,0.010227142833173275,-4.88442037749337e-06,-0.9191048741340637,0.010227142833173275,0.5382481217384338,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:M:r0:B=7:A=10,OpenBMI_MI,OpenBMI,0,0,M,0,10,7,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.000519629567861557,0.08219567686319351,-3.309465682832524e-05,-0.7748453617095947,0.08219567686319351,0.4617423713207245,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:M:r0:B=10:A=16,OpenBMI_MI,OpenBMI,0,0,M,0,16,10,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0005196299171075225,0.028354482725262642,-1.3112829037709162e-05,-0.8899804949760437,0.028354482725262642,0.42508208751678467,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:M:r0:B=16:A=20,OpenBMI_MI,OpenBMI,0,0,M,0,20,16,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0005196299753151834,0.06562399864196777,-2.9277047360665165e-05,-0.8585594296455383,0.06562399864196777,0.599004864692688,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:M:r0:B=20:A=21,OpenBMI_MI,OpenBMI,0,0,M,0,21,20,AdamW,0.0003,0.0005,5.0,eval_dropout_disabled,0.0005196291022002697,0.02504913881421089,-1.0324103641323745e-05,-0.7931696176528931,0.02504913881421089,0.1286448836326599,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
