run,model,shared_geometry_drift,individual_protected_residual_drift,nonprotected_drift,protected_q_drift_rms
fold-0/seed-0,method,0.013173859579347764,0.01683229982432547,0.0,0.013302445411682129
fold-0/seed-0,control,0.01264451454245078,0.0094618977888442,0.0,0.010342100635170937
fold-0/seed-1,method,0.028820026585049164,0.022175840846555526,0.0,0.025323515757918358
fold-0/seed-1,control,0.008195986084606248,0.004910719992486621,0.0,0.0069856662303209305
fold-1/seed-0,method,0.1924362711986194,0.09571112831459484,0.0,0.1410519778728485
fold-1/seed-0,control,0.010344840125609253,0.007891239828337953,0.0,0.008367916569113731
fold-1/seed-1,method,0.4790657910237658,0.2552873286641099,0.0,0.3372553586959839
fold-1/seed-1,control,0.016085050471447176,0.008342966059184012,0.0,0.013174628838896751
fold-2/seed-0,method,0.020137787137277378,0.014992378396240787,0.0,0.01560359075665474
fold-2/seed-0,control,0.010482579356425454,0.008557366320738866,0.0,0.007849683053791523
fold-2/seed-1,method,0.022411681239652398,0.013143985269060876,0.0,0.01672721840441227
fold-2/seed-1,control,0.025432920309295545,0.01178713656450984,0.0,0.016873164102435112
