model,task,fold,seed,status,subject_id,rank_N,persistent_rank,N_future_BA,N_worst_BA,erasure_harm_future,erasure_harm_worst,random_removal_harm_future,random_removal_harm_worst,excess_future,excess_worst
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,4,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,12,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,13,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,17,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,18,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,24,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,25,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,29,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,36,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,37,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,39,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,42,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,51,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,54,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,4,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,12,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,13,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,17,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,18,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,24,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,25,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,29,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,36,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
