model,task,fold,seed,status,rank_Uonly,persistent_rank_in_U,nonpersistent_rank_in_U,persistent_fraction_in_U
EEGNet,WBCIC_MI,2,0,ESTIMABLE,3,3,0,1.0
EEGNet,WBCIC_MI,2,1,ESTIMABLE,3,3,0,1.0
EEGNet,WBCIC_MI,2,2,ESTIMABLE,4,4,0,1.0
EEGNet,WBCIC_MI,3,0,ESTIMABLE,2,2,0,1.0
EEGNet,WBCIC_MI,3,1,ESTIMABLE,1,1,0,1.0
EEGNet,WBCIC_MI,3,2,ESTIMABLE,1,1,0,1.0
EEGNet,WBCIC_MI,4,0,ESTIMABLE,1,1,0,1.0
EEGNet,WBCIC_MI,4,1,ESTIMABLE,2,2,0,1.0
EEGNet,WBCIC_MI,4,2,ESTIMABLE,3,3,0,1.0
EEGConformer,OpenBMI_MI,0,0,ESTIMABLE,1,1,0,1.0
EEGConformer,OpenBMI_MI,0,1,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_MI,0,2,ESTIMABLE,3,3,0,1.0
EEGConformer,OpenBMI_MI,1,0,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_MI,1,1,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_MI,1,2,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_MI,2,0,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_MI,2,1,ESTIMABLE,7,7,0,1.0
EEGConformer,OpenBMI_MI,2,2,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_MI,3,0,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_MI,3,1,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_MI,3,2,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_MI,4,0,ESTIMABLE,3,3,0,1.0
EEGConformer,OpenBMI_MI,4,1,ESTIMABLE,6,6,0,1.0
EEGConformer,OpenBMI_MI,4,2,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_ERP,0,0,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_ERP,0,1,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_ERP,0,2,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_ERP,1,0,ESTIMABLE,8,4,4,0.5
EEGConformer,OpenBMI_ERP,1,1,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_ERP,1,2,ESTIMABLE,9,9,0,1.0
EEGConformer,OpenBMI_ERP,2,0,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_ERP,2,1,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_ERP,2,2,ESTIMABLE,8,4,4,0.5
EEGConformer,OpenBMI_ERP,3,0,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_ERP,3,1,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_ERP,3,2,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_ERP,4,0,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_ERP,4,1,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_ERP,4,2,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_SSVEP,0,0,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_SSVEP,0,1,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_SSVEP,0,2,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_SSVEP,1,0,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_SSVEP,1,1,ESTIMABLE,4,4,0,1.0
EEGConformer,OpenBMI_SSVEP,1,2,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_SSVEP,2,0,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_SSVEP,2,1,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_SSVEP,2,2,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_SSVEP,3,0,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_SSVEP,3,1,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_SSVEP,3,2,ESTIMABLE,7,7,0,1.0
EEGConformer,OpenBMI_SSVEP,4,0,ESTIMABLE,5,5,0,1.0
EEGConformer,OpenBMI_SSVEP,4,1,ESTIMABLE,8,8,0,1.0
EEGConformer,OpenBMI_SSVEP,4,2,ESTIMABLE,5,5,0,1.0
EEGConformer,WBCIC_MI,0,0,ESTIMABLE,2,2,0,1.0
EEGConformer,WBCIC_MI,0,1,ESTIMABLE,4,4,0,1.0
EEGConformer,WBCIC_MI,1,0,ESTIMABLE,2,2,0,1.0
EEGConformer,WBCIC_MI,1,1,ESTIMABLE,2,2,0,1.0
EEGConformer,WBCIC_MI,1,2,ESTIMABLE,1,1,0,1.0
EEGConformer,WBCIC_MI,2,0,ESTIMABLE,2,2,0,1.0
EEGConformer,WBCIC_MI,2,1,ESTIMABLE,2,2,0,1.0
EEGConformer,WBCIC_MI,2,2,ESTIMABLE,2,2,0,1.0
EEGConformer,WBCIC_MI,3,0,ESTIMABLE,5,5,0,1.0
EEGConformer,WBCIC_MI,3,1,ESTIMABLE,2,2,0,1.0
EEGConformer,WBCIC_MI,4,0,ESTIMABLE,1,1,0,1.0
EEGConformer,WBCIC_MI,4,1,ESTIMABLE,1,1,0,1.0
EEGConformer,WBCIC_MI,4,2,ESTIMABLE,1,1,0,1.0
