model,task,fold,seed,subject_id,persistent_block,nonpersistent_block,block_rank,score_U_persistent,score_U_nonpersistent,Delta_future,Delta_worst
EEGNet,OpenBMI_ERP,2,1,12,4,6,4,0.03644248261554958,0.011293656145032657,-0.03125,-0.109375
EEGNet,OpenBMI_ERP,2,1,13,4,6,4,0.03644248261554958,0.011293656145032657,0.0,-0.015625
EEGNet,OpenBMI_ERP,2,1,17,4,6,4,0.03644248261554958,0.011293656145032657,-0.140625,-0.09375
EEGNet,OpenBMI_ERP,2,1,18,4,6,4,0.03644248261554958,0.011293656145032657,-0.140625,-0.09375
EEGNet,OpenBMI_ERP,2,1,24,4,6,4,0.03644248261554958,0.011293656145032657,0.09375,0.078125
EEGNet,OpenBMI_ERP,2,1,25,4,6,4,0.03644248261554958,0.011293656145032657,0.0,0.015625
EEGNet,OpenBMI_ERP,2,1,29,4,6,4,0.03644248261554958,0.011293656145032657,0.046875,0.046875
EEGNet,OpenBMI_ERP,2,1,36,4,6,4,0.03644248261554958,0.011293656145032657,0.09375,0.078125
EEGNet,OpenBMI_ERP,2,1,37,4,6,4,0.03644248261554958,0.011293656145032657,0.015625,0.078125
EEGNet,OpenBMI_ERP,2,1,39,4,6,4,0.03644248261554958,0.011293656145032657,-0.015625,-0.015625
EEGNet,OpenBMI_ERP,2,1,4,4,6,4,0.03644248261554958,0.011293656145032657,-0.109375,-0.125
EEGNet,OpenBMI_ERP,2,1,42,4,6,4,0.03644248261554958,0.011293656145032657,0.09375,0.09375
EEGNet,OpenBMI_ERP,2,1,51,4,6,4,0.03644248261554958,0.011293656145032657,-0.203125,-0.15625
EEGNet,OpenBMI_ERP,2,1,54,4,6,4,0.03644248261554958,0.011293656145032657,-0.046875,-0.09375
EEGNet,OpenBMI_ERP,2,2,12,6,7,4,0.11422366339046604,0.02269367623543686,0.234375,0.234375
EEGNet,OpenBMI_ERP,2,2,13,6,7,4,0.11422366339046604,0.02269367623543686,0.15625,0.15625
EEGNet,OpenBMI_ERP,2,2,17,6,7,4,0.11422366339046604,0.02269367623543686,0.03125,0.078125
EEGNet,OpenBMI_ERP,2,2,18,6,7,4,0.11422366339046604,0.02269367623543686,0.109375,0.015625
EEGNet,OpenBMI_ERP,2,2,24,6,7,4,0.11422366339046604,0.02269367623543686,0.0,0.078125
EEGNet,OpenBMI_ERP,2,2,25,6,7,4,0.11422366339046604,0.02269367623543686,-0.03125,-0.03125
EEGNet,OpenBMI_ERP,2,2,29,6,7,4,0.11422366339046604,0.02269367623543686,0.171875,0.234375
EEGNet,OpenBMI_ERP,2,2,36,6,7,4,0.11422366339046604,0.02269367623543686,-0.015625,0.046875
